-BEGIN HEADER-,,,,,,,,,,,,,Bakersfield
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2015 through 11/16/2024 ,,,,,,,,,,,,,
Location: Latitude  35.3822   Longitude -119.0251 ,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 736.06 meters,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) ,,,,,,,,,,,,,
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) ,,,,,,,,,,,,,
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) ,,,,,,,,,,,,,
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_PAR_TOT,,
2015,1,1,3.41,7.91,3.42,0.52,0.74,0.41,0.08,6.82,58.83,,
2015,1,2,3.39,7.66,3.39,0.55,0.73,0.49,0.1,6.84,58.79,,
2015,1,3,3.34,7.44,3.34,0.54,0.72,0.46,0.09,6.84,58.79,,
2015,1,4,3,4.6,3.32,1.29,0.64,0.45,0.09,6.42,53.24,,
2015,1,5,3.2,6.51,3.23,0.65,0.68,0.43,0.09,6.7,57.5,,
2015,1,6,3.32,6.8,3.35,0.67,0.7,0.48,0.09,6.92,59.09,,
2015,1,7,3.24,6.12,3.36,0.9,0.69,0.5,0.1,6.82,57.7,,
2015,1,8,3.06,4.95,3.23,0.98,0.64,0.48,0.1,6.64,55.74,,
2015,1,9,2.38,2.55,3.25,1.42,0.5,0.4,0.08,5.41,43.08,,
2015,1,10,2.32,2.22,3.05,1.4,0.48,0.35,0.07,5.32,42.75,,
2015,1,11,1.72,1.34,3.09,1.23,0.36,0.31,0.06,4.23,32.41,,
2015,1,12,2.12,2.14,3.32,1.35,0.44,0.34,0.07,5.1,39.34,,
2015,1,13,2.79,4.01,3.42,1.16,0.57,0.44,0.09,6.27,50.73,,
2015,1,14,3.15,5.92,3.61,0.87,0.64,0.49,0.1,6.82,56.25,,
2015,1,15,2.21,3.38,3.6,0.89,0.45,0.4,0.08,5.05,39.71,,
2015,1,16,2.71,4.56,3.51,0.99,0.55,0.48,0.1,6.08,49.61,,
2015,1,17,2.01,2.63,3.53,0.98,0.4,0.44,0.09,4.92,37.3,,
2015,1,18,2.02,2.22,3.55,1.13,0.4,0.46,0.09,4.84,36.88,,
2015,1,19,1.92,2.35,3.59,0.94,0.38,0.44,0.09,4.77,36.1,,
2015,1,20,1.16,0.68,3.58,0.9,0.23,0.28,0.05,3.27,22.78,,
2015,1,21,1.46,1.33,3.7,0.92,0.28,0.28,0.05,3.83,27.38,,
2015,1,22,2.61,1.32,3.75,2.05,0.5,0.45,0.09,6.06,46.7,,
2015,1,23,2.59,3.94,3.83,1.04,0.49,0.43,0.09,5.79,46.1,,
2015,1,24,2.3,3.16,3.98,0.98,0.43,0.43,0.09,5.41,41.19,,
2015,1,25,2.73,4.19,3.87,1.01,0.51,0.5,0.1,6.36,50.37,,
2015,1,26,1.6,0.69,3.7,1.29,0.3,0.37,0.07,4.34,30.9,,
2015,1,27,2.8,3.5,3.67,1.18,0.52,0.54,0.11,6.55,51.87,,
2015,1,28,1.92,0.76,3.79,1.57,0.35,0.45,0.09,5.12,36.92,,
2015,1,29,2.92,2.06,3.72,2.03,0.52,0.56,0.12,6.94,54.57,,
2015,1,30,2.91,2.27,3.72,1.91,0.52,0.55,0.11,6.85,53.87,,
2015,1,31,3.48,5.74,4.02,1.02,0.62,0.6,0.12,7.98,64.18,,
2015,2,1,3.96,6.78,4.13,1.06,0.7,0.66,0.13,8.68,71.23,,
2015,2,2,3.88,5.96,4.09,1.28,0.68,0.66,0.13,8.6,70.28,,
2015,2,3,3.48,3.96,4.12,1.95,0.6,0.62,0.12,7.98,63.53,,
2015,2,4,4.07,6.39,4.23,1.04,0.7,0.68,0.14,9.08,73.71,,
2015,2,5,3.56,3.87,4.34,1.92,0.6,0.67,0.13,8.25,64.82,,
2015,2,6,3.75,4.15,4.39,1.73,0.63,0.8,0.16,8.62,68.05,,
2015,2,7,1.67,1.43,4.15,1.15,0.28,0.49,0.09,4.64,33.21,,
2015,2,8,3.57,5.43,4.2,1.12,0.59,0.84,0.16,8.55,68.04,,
2015,2,9,4.31,7.75,4.49,0.79,0.7,0.91,0.19,9.78,79.16,,
2015,2,10,4.56,8.37,4.65,0.71,0.73,0.9,0.18,10.04,81.66,,
2015,2,11,4.26,7.27,4.64,0.84,0.69,0.85,0.17,9.49,76.73,,
2015,2,12,4.61,8.44,4.66,0.64,0.73,-999,0.19,10.25,83.21,,
2015,2,13,4.62,8.48,4.59,0.61,0.73,0.93,0.19,10.32,84.6,,
2015,2,14,4.23,5.34,4.6,1.78,0.66,0.91,0.18,9.7,77.95,,
2015,2,15,4.7,8.22,4.69,0.65,0.73,0.95,0.19,10.46,85.48,,
2015,2,16,4.82,8.63,4.8,0.66,0.74,0.97,0.2,10.73,87.46,,
2015,2,17,4.85,8.57,4.82,0.68,0.73,0.91,0.19,10.65,87.13,,
2015,2,18,3.97,4.82,4.8,1.46,0.59,0.84,0.17,9.24,72.61,,
2015,2,19,4.45,6.32,4.74,1.3,0.66,0.97,0.2,9.89,80.4,,
2015,2,20,2.91,2.79,4.85,1.5,0.43,0.66,0.13,7.02,53.19,,
2015,2,21,3.2,4.27,5.03,1.23,0.47,0.66,0.13,7.74,59.28,,
2015,2,22,2.21,1.37,4.88,1.56,0.32,0.49,0.1,5.84,42.36,,
2015,2,23,4.34,6,5.05,1.36,0.62,0.62,0.12,9.66,77.71,,
2015,2,24,5.4,9.99,5.39,0.58,0.77,0.79,0.16,11.8,95.61,,
2015,2,25,5.39,9.44,5.42,0.71,0.76,0.99,0.2,11.87,95.68,,
2015,2,26,4.79,5.85,5.21,1.93,0.67,1.06,0.21,11.24,88.43,,
2015,2,27,4.81,6.39,5.19,1.47,0.66,1.09,0.22,11.34,89.12,,
2015,2,28,3.93,4.53,5.5,1.81,0.54,0.84,0.17,9.59,72.75,,
2015,3,1,3.54,3.12,5.33,1.98,0.48,0.62,0.12,8.73,65.84,,
2015,3,2,3.66,3.43,5.31,1.83,0.49,0.64,0.12,8.98,68.35,,
2015,3,3,4.77,6.61,5.47,1.32,0.64,0.82,0.16,10.98,86.4,,
2015,3,4,5.62,8.88,5.68,0.97,0.74,0.95,0.2,12.37,99.14,,
2015,3,5,5.81,9.83,5.78,0.64,0.77,1.06,0.21,12.81,102.66,,
2015,3,6,5.91,9.86,5.88,0.68,0.77,1.12,0.23,13.04,104.11,,
2015,3,7,5.84,9.27,5.81,0.79,0.76,1.2,0.24,12.96,103.58,,
2015,3,8,5.87,9.03,5.91,0.99,0.76,1.22,0.24,13.12,104.21,,
2015,3,9,5.83,9.28,5.81,0.79,0.74,1.21,0.24,13.2,105.26,,
2015,3,10,4.8,3.9,5.82,2.89,0.61,1.09,0.21,11.12,86.78,,
2015,3,11,1.95,0.8,5.68,1.54,0.24,0.62,0.12,5.79,39.96,,
2015,3,12,5.34,7.69,6.01,1.09,0.66,1.24,0.25,12.55,97.62,,
2015,3,13,5.82,7.57,6.08,1.35,0.72,1.45,0.29,13.63,106.23,,
2015,3,14,5.92,8.03,6.07,1.14,0.73,1.61,0.32,13.88,108.52,,
2015,3,15,5.05,4.05,6.03,2.49,0.62,1.52,0.3,12.34,93.86,,
2015,3,16,5.31,4.31,6.14,2.77,0.64,1.59,0.3,12.77,97.62,,
2015,3,17,3.27,1.13,5.99,2.58,0.39,1.1,0.21,8.98,64.79,,
2015,3,18,5.41,4.97,6.07,2.38,0.64,1.42,0.28,13,100.93,,
2015,3,19,6.26,9.22,6.27,0.86,0.74,1.41,0.28,14.32,113.32,,
2015,3,20,5.48,5.22,6.43,2.41,0.64,1.4,0.28,13.02,99.92,,
2015,3,21,6.35,8.77,6.42,1.13,0.74,1.54,0.31,14.55,114.53,,
2015,3,22,5.69,5.61,6.28,2.22,0.66,1.41,0.28,13.45,104.7,,
2015,3,23,5.59,6.94,6.49,1.68,0.64,1.34,0.27,13.5,103.55,,
2015,3,24,6.12,6.71,6.55,2.04,0.7,1.43,0.29,14.65,113.18,,
2015,3,25,6.5,9.46,6.6,0.86,0.73,1.52,0.3,15.23,119.34,,
2015,3,26,6.71,9.89,6.73,0.76,0.76,1.72,0.34,15.55,121.89,,
2015,3,27,6.76,10.06,6.78,0.72,0.76,1.77,0.35,15.73,123.16,,
2015,3,28,6.86,10.25,6.88,0.73,0.76,1.69,0.34,15.97,124.75,,
2015,3,29,6.96,10.49,6.95,0.67,0.77,1.62,0.33,16.09,125.94,,
2015,3,30,6.98,10.36,6.98,0.71,0.77,1.7,0.34,16.2,126.51,,
2015,3,31,6.86,9.32,6.96,1.1,0.75,1.77,0.35,15.85,124.06,,
2015,4,1,7.24,10.4,7.28,0.94,0.78,1.82,0.37,16.62,128.73,,
2015,4,2,7.32,10.83,7.34,0.72,0.79,1.76,0.35,16.64,129.68,,
2015,4,3,7.22,10.42,7.26,0.79,0.77,1.66,0.34,16.36,128.27,,
2015,4,4,7.31,10.43,7.31,0.84,0.77,1.7,0.34,16.59,129.79,,
2015,4,5,7.18,10.15,7.24,0.89,0.76,1.72,0.34,16.77,130.27,,
2015,4,6,6.79,7.6,7.36,1.74,0.71,1.55,0.31,16.14,122.9,,
2015,4,7,3.69,3.96,7.1,1.84,0.38,0.87,0.16,9.45,70.62,,
2015,4,8,6.53,8.87,7.45,1.32,0.68,1.42,0.28,15.35,117.38,,
2015,4,9,5.4,5.29,7.37,2.68,0.55,1.26,0.24,13,98.66,,
2015,4,10,6.81,7.13,7.25,2.19,0.7,1.48,0.3,15.79,123.06,,
2015,4,11,7.27,9.92,7.37,1.11,0.74,1.55,0.31,16.77,131.05,,
2015,4,12,7.46,10.63,7.45,0.8,0.76,1.74,0.35,17.34,135.17,,
2015,4,13,7.48,10.64,7.49,0.79,0.76,1.85,0.38,17.68,136.95,,
2015,4,14,6.78,9.16,7.79,1.17,0.68,1.68,0.34,15.98,121.83,,
2015,4,15,7.81,11.43,7.83,0.69,0.78,1.87,0.38,18.12,139.74,,
2015,4,16,7.97,11.43,8.04,0.75,0.8,1.95,0.39,17.97,138.71,,
2015,4,17,7.71,10.94,7.79,0.81,0.77,-999,0.41,17.99,138.71,,
2015,4,18,7.74,10.9,7.8,0.79,0.77,2.02,0.41,18.06,139.45,,
2015,4,19,7.77,10.63,7.8,0.9,0.77,1.91,0.38,17.99,139.63,,
2015,4,20,7.5,9.65,7.62,1.09,0.73,1.8,0.37,17.61,136.8,,
2015,4,21,6.26,6.07,7.46,2.02,0.61,1.48,0.3,14.63,113.46,,
2015,4,22,6.92,6.89,7.26,2.05,0.67,1.56,0.31,16.09,126.46,,
2015,4,23,6.89,7.39,7.28,1.82,0.66,1.58,0.32,16.31,127.8,,
2015,4,24,6.63,6.26,7.65,2.69,0.64,1.62,0.32,16.09,123.14,,
2015,4,25,4.26,2.99,7.44,2.32,0.41,1.2,0.23,11.07,81.37,,
2015,4,26,7.74,9.96,7.85,1.17,0.74,1.95,0.39,18.63,143.23,,
2015,4,27,7.94,10.93,8.05,0.81,0.76,2.2,0.44,19.09,145.88,,
2015,4,28,8.04,11.22,8.05,0.79,0.77,2.23,0.45,19.21,147.63,,
2015,4,29,7.54,7.51,8.09,2.79,0.71,2.2,0.44,18.27,138.88,,
2015,4,30,7.37,7.24,8.14,2.4,0.7,2.07,0.41,17.86,135.24,,
2015,5,1,7.95,9.81,8.24,1.53,0.75,2.06,0.41,18.77,143.72,,
2015,5,2,8.29,11.31,8.32,0.86,0.77,2.15,0.43,19.45,149.33,,
2015,5,3,8.19,11.08,8.29,0.98,0.77,-999,0.43,19.44,148.6,,
2015,5,4,8.1,10.45,8.18,1.12,0.75,2.21,0.44,19.26,147.98,,
2015,5,5,7.94,9.73,8.09,1.51,0.73,2.08,0.41,18.79,145.06,,
2015,5,6,8.28,10.71,8.32,1.09,0.77,2.07,0.41,19.38,149.16,,
2015,5,7,7.08,7.75,8.1,1.79,0.65,1.67,0.34,16.95,129.06,,
2015,5,8,4.74,2.24,7.76,3.15,0.44,1.19,0.23,12.24,90.18,,
2015,5,9,7.42,8.15,8.03,1.57,0.68,1.76,0.36,18.06,137.73,,
2015,5,10,8.12,10.16,8.25,1.17,0.74,2,0.41,19.26,148.21,,
2015,5,11,7.2,5.02,8.26,4.09,0.66,1.84,0.37,17.09,131.46,,
2015,5,12,8.25,9.92,8.53,1.36,0.75,2.03,0.41,19.75,150.01,,
2015,5,13,7.77,7.8,8.34,2.33,0.7,1.77,0.36,18.28,140.36,,
2015,5,14,5.23,3.32,7.97,2.86,0.48,1.31,0.27,13.33,99.27,,
2015,5,15,5.05,3.65,8.22,2.67,0.45,1.24,0.24,13.09,95.99,,
2015,5,16,8.14,9.51,8.4,1.62,0.73,1.84,0.37,19.43,149.12,,
2015,5,17,5.69,2.63,7.94,3.76,0.51,1.52,0.3,14.13,106.81,,
2015,5,18,7.16,7.56,8.24,1.78,0.64,1.72,0.34,17.32,132.29,,
