YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_PAR_TOT
2015,1,1,2.51,5.78,2.55,0.59,0.7,0.23,0.05,4.97,43.59
2015,1,2,2.15,2.5,2.49,1.38,0.6,0.27,0.05,4.59,38.39
2015,1,3,0.45,0.33,2.33,0.36,0.12,0.08,0.02,1.28,8.66
2015,1,4,0.65,0.55,2.47,0.51,0.18,0.1,0.02,1.74,12.16
2015,1,5,1.56,1.4,2.74,1.19,0.43,0.15,0.03,3.59,27.36
2015,1,6,1.96,2.35,2.71,1.16,0.53,0.19,0.04,4.15,33.88
2015,1,7,2.16,4.7,2.85,0.67,0.59,0.19,0.04,4.31,35.77
2015,1,8,0.95,0.53,2.65,0.78,0.26,0.09,0.02,2.36,17.74
2015,1,9,2.48,5.6,2.86,0.9,0.66,0.21,0.04,4.88,41.48
2015,1,10,2.58,5.38,2.76,0.79,0.68,0.18,0.03,5.1,43.54
2015,1,11,1,0.51,2.38,0.84,0.27,0.12,0.02,2.52,18.65
2015,1,12,1.88,2.49,2.73,1.06,0.49,0.2,0.04,3.93,32.43
2015,1,13,2.82,6.62,2.97,0.7,0.73,0.25,0.05,5.52,47.03
2015,1,14,1.74,2.78,2.72,0.98,0.45,0.16,0.03,3.63,29.91
2015,1,15,2.5,4.9,2.77,0.77,0.63,0.3,0.05,5.38,44.61
2015,1,16,2.45,4.1,2.8,0.98,0.62,0.3,0.06,5.33,43.94
2015,1,17,2.24,3.06,2.74,1.3,0.56,0.27,0.05,4.91,39.93
2015,1,18,1.93,2.99,2.83,1.02,0.48,0.23,0.05,4.2,34.06
2015,1,19,2.56,5.06,2.81,0.84,0.62,0.23,0.05,5.2,44.73
2015,1,20,1.45,1.84,2.69,0.89,0.35,0.16,0.03,3.35,25.97
2015,1,21,0.91,0.7,2.77,0.7,0.22,0.11,0.02,2.34,16.91
2015,1,22,0.95,0.71,2.93,0.74,0.23,0.12,0.02,2.53,17.52
2015,1,23,1.04,1.06,3.04,0.76,0.24,0.12,0.02,2.62,18.68
2015,1,24,2.72,4.95,2.98,0.95,0.63,0.26,0.05,5.67,48.07
2015,1,25,0.83,0.64,2.62,0.64,0.19,0.1,0.02,2.12,15.45
2015,1,26,2.09,2.05,3.07,1.5,0.48,0.22,0.05,4.65,37.07
2015,1,27,2.41,3.45,3.02,1.07,0.55,0.21,0.04,5.04,41.59
2015,1,28,2.29,1.97,2.88,1.62,0.51,0.2,0.04,4.88,40.23
2015,1,29,0.75,0.55,3.07,0.56,0.16,0.12,0.02,2.05,14.38
2015,1,30,2.82,5.28,3.34,0.93,0.62,0.3,0.05,5.79,48.54
2015,1,31,2.11,1.23,3.03,1.68,0.45,0.27,0.05,4.88,38.22
2015,2,1,0.7,0.53,3.12,0.51,0.15,0.13,0.03,1.94,13.45
2015,2,2,3.46,7.35,3.7,0.73,0.73,0.4,0.08,7.21,58.9
2015,2,3,2.24,1.92,3.45,1.47,0.47,0.29,0.05,5.1,40.11
2015,2,4,0.61,0.39,3.44,0.48,0.12,0.07,0.02,1.63,11.77
2015,2,5,3.72,7.63,3.81,0.68,0.76,0.38,0.07,7.59,62.78
2015,2,6,2.4,2.69,3.54,1.46,0.48,0.28,0.05,5.41,42.99
2015,2,7,2.88,3.27,3.33,1.6,0.57,0.38,0.08,6.29,51.76
2015,2,8,1.43,0.85,3.28,1.08,0.28,0.27,0.05,3.56,27.09
2015,2,9,0.83,0.75,3.75,0.58,0.16,0.16,0.03,2.24,15.89
2015,2,10,3.47,5.14,3.83,1.35,0.66,0.48,0.09,7.44,60.79
2015,2,11,1.52,0.61,3.71,1.26,0.29,0.28,0.05,3.96,28.81
2015,2,12,3.55,5.91,4.18,1.17,0.66,0.41,0.08,7.44,60.14
2015,2,13,2.13,1.58,3.92,1.54,0.39,0.29,0.05,4.95,37.93
2015,2,14,3.47,3.9,4.37,1.92,0.63,0.51,0.1,8.17,61.18
