-BEGIN HEADER-,,,,,,,,,,,Denver
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,
Dates (month/day/year): 01/01/2015 through 11/16/2024 ,,,,,,,,,,,
Location: Latitude  39.7704   Longitude -105.0148 ,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1801.15 meters,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) ,,,,,,,,,,,
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) ,,,,,,,,,,,
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) ,,,,,,,,,,,
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_PAR_TOT
2015,1,1,1.63,1.45,2.77,1.19,0.41,0.26,0.05,3.95,28.81
2015,1,2,2.9,7.18,3.05,0.54,0.73,0.4,0.08,6.41,50.15
2015,1,3,1.36,1.37,2.98,0.95,0.34,0.21,0.05,3.45,24.51
2015,1,4,1.9,2.4,3.06,1.07,0.48,0.27,0.05,4.63,33.87
2015,1,5,1.92,1.11,3.02,1.51,0.48,0.29,0.05,4.88,34.75
2015,1,6,2.29,2.39,2.98,1.32,0.57,0.36,0.07,5.59,41.38
2015,1,7,2.79,4.97,3.04,0.93,0.69,0.42,0.09,6.35,49.16
2015,1,8,3.09,7.79,3.07,0.47,0.76,0.44,0.09,6.73,53.85
2015,1,9,2.91,6.22,3.08,0.82,0.71,0.45,0.09,6.41,50.5
2015,1,10,2.52,3.23,3.07,1.42,0.61,0.38,0.08,5.88,44.35
2015,1,11,1.94,1.23,2.96,1.46,0.47,0.3,0.06,4.91,35.23
2015,1,12,2.08,1.33,2.96,1.65,0.5,0.3,0.06,5.05,37.11
2015,1,13,1.98,1.26,2.93,1.52,0.47,0.29,0.06,5.03,36.05
2015,1,14,3.22,7.41,3.27,0.6,0.76,0.42,0.09,7.05,55.27
2015,1,15,3.33,8.3,3.31,0.5,0.78,0.5,0.1,7.34,57.77
2015,1,16,2.73,4.18,3.35,1.12,0.63,0.46,0.09,6.57,48.53
2015,1,17,3.35,7.14,3.47,0.75,0.77,0.54,0.11,7.43,57.14
2015,1,18,3.11,6.36,3.36,0.91,0.71,0.52,0.1,7.24,55.21
2015,1,19,3.14,5.69,3.37,1,0.71,0.51,0.1,7.24,55.29
2015,1,20,3.23,5.99,3.45,0.99,0.73,0.48,0.09,7.23,55.34
2015,1,21,1.69,0.77,3.53,1.39,0.38,0.29,0.06,4.64,31.56
2015,1,22,3.52,7.79,3.68,0.58,0.77,0.4,0.08,7.83,59.23
2015,1,23,2.95,3.82,3.49,1.54,0.64,0.39,0.08,7,52.41
2015,1,24,1.63,0.62,3.57,1.39,0.35,0.3,0.06,4.59,30.77
2015,1,25,3.25,5.96,3.59,0.98,0.7,0.5,0.1,7.64,57.88
2015,1,26,3.63,8.31,3.62,0.54,0.77,0.55,0.11,8.19,63.88
2015,1,27,3.55,7.18,3.65,0.88,0.74,0.58,0.12,8.09,62.55
2015,1,28,3.2,6.37,3.76,0.87,0.66,0.53,0.11,7.52,56.67
2015,1,29,2.87,2.46,3.7,1.8,0.59,0.49,0.1,7.05,51.63
2015,1,30,1.66,0.62,3.62,1.4,0.34,0.38,0.08,4.84,32.31
2015,1,31,1.31,0.64,3.75,1.1,0.27,0.32,0.06,3.95,26
2015,2,1,3.35,6.03,3.93,0.98,0.66,0.53,0.11,7.66,57.86
2015,2,2,3.23,5.04,3.95,1.32,0.63,0.52,0.11,7.7,57.23
2015,2,3,3.52,5.89,3.97,1.2,0.69,0.53,0.11,8.23,62.12
2015,2,4,1.96,1,3.96,1.56,0.38,0.41,0.09,5.51,37.37
2015,2,5,3.29,2.79,4.07,2.05,0.62,0.61,0.12,8.1,58.92
2015,2,6,3.59,5.6,4.14,1.51,0.68,0.66,0.13,8.55,63.54
2015,2,7,3.94,7.23,4.17,0.97,0.73,0.82,0.16,9.31,70.2
2015,2,8,4.15,8.59,4.27,0.65,0.77,0.94,0.19,9.59,72.81
2015,2,9,4.28,8.76,4.28,0.65,0.78,0.91,0.19,9.88,75.27
2015,2,10,3.35,5.28,4.3,1.14,0.6,0.76,0.16,8.14,60.05
2015,2,11,3.95,6.53,4.42,1.14,0.7,0.77,0.16,9.41,69.59
2015,2,12,3.72,3.43,4.37,2.24,0.66,0.73,0.15,9.16,67.09
2015,2,13,4.49,9.22,4.47,0.59,0.78,0.89,0.18,10.46,79.27
2015,2,14,3.83,5.13,4.49,1.69,0.66,0.86,0.17,9.2,68.16
2015,2,15,2.46,2.04,4.46,1.62,0.42,0.66,0.13,6.55,45.71
2015,2,16,1.6,0.72,4.71,1.29,0.27,0.34,0.07,4.64,31.01
2015,2,17,4.41,6.74,4.82,1.3,0.73,0.67,0.13,10.41,75.88
2015,2,18,4.81,9.33,4.83,0.77,0.8,0.84,0.16,11.33,84.11
2015,2,19,4.8,8.97,4.85,0.83,0.79,0.91,0.19,11.35,84.49
2015,2,20,3.07,3.14,4.81,1.72,0.5,0.71,0.14,7.97,56.8
2015,2,21,2.28,1,4.92,1.82,0.37,0.45,0.09,6.27,42.97
2015,2,22,2.1,1.07,5.07,1.62,0.34,0.42,0.09,6.12,41.22
2015,2,23,3.75,4.04,5.01,1.93,0.59,0.7,0.14,9.78,69.07
2015,2,24,5.18,9.57,5.24,0.68,0.8,0.84,0.16,12.51,90.23
2015,2,25,3.19,2.76,5.17,1.84,0.49,0.7,0.14,8.55,59.68
2015,2,26,3.3,2.72,5.32,2,0.5,0.68,0.14,8.59,60.4
2015,2,27,4.56,4.73,5.44,2.17,0.69,0.95,0.19,11.6,81.48
2015,2,28,3.95,2.69,5.31,2.62,0.59,0.76,0.15,10.21,72.45
2015,3,1,3.66,2.71,5.27,2.2,0.54,0.73,0.15,9.71,67.92
2015,3,2,4.25,4.29,5.33,1.99,0.62,0.93,0.19,11.16,78.14
2015,3,3,3.16,2.61,5.51,1.95,0.46,0.72,0.14,8.52,58.75
2015,3,4,3.34,2.15,5.79,2.28,0.48,0.71,0.14,8.9,61.11
2015,3,5,3.6,4.15,5.7,1.77,0.51,0.67,0.13,9.41,66.41
2015,3,6,5.55,8.62,5.63,1.07,0.78,1.07,0.22,13.42,97.31
2015,3,7,5.65,9.2,5.68,0.98,0.79,1.2,0.24,13.83,100.05
2015,3,8,5.3,5.93,5.63,2.14,0.73,1.14,0.23,13,93.77
2015,3,9,5.76,8.91,5.79,1.16,0.79,1.14,0.23,13.74,100.24
2015,3,10,5.92,10.08,5.91,0.83,0.8,1.26,0.25,14.36,104.53
2015,3,11,5.33,5.25,6.01,2.67,0.71,1.27,0.25,13.3,95.3
2015,3,12,4.82,2.68,5.95,3.24,0.64,1.38,0.27,12.62,88.44
2015,3,13,3.5,1.29,5.88,2.76,0.46,1.09,0.22,9.86,67.23
2015,3,14,5.97,8.7,6.2,1.17,0.78,1.48,0.3,14.56,104.98
2015,3,15,6.05,9.2,6.16,1.05,0.78,1.6,0.32,14.88,108
2015,3,16,6.17,9.93,6.19,0.85,0.79,1.74,0.34,14.95,109.34
2015,3,17,5.18,6.61,6.09,1.54,0.66,1.54,0.3,13.14,94.7
2015,3,18,2.85,1.03,6.11,2.27,0.36,1.04,0.2,8.45,56.36
2015,3,19,2.95,1.36,6.25,2.21,0.37,1.09,0.21,8.58,57.56
2015,3,20,6.36,9.7,6.55,1.17,0.79,1.58,0.31,15.18,111.12
2015,3,21,6.28,9.77,6.56,0.89,0.77,1.58,0.32,15.27,111.18
2015,3,22,5.46,4.7,6.54,2.73,0.66,1.59,0.31,14.04,99.07
2015,3,23,5.9,7.23,6.51,1.55,0.71,1.48,0.3,14.51,105.21
2015,3,24,5.89,7.25,6.76,1.69,0.7,1.4,0.28,14.66,104.87
2015,3,25,3.33,1.95,6.83,2.42,0.4,0.93,0.19,9.34,63.7
2015,3,26,5.49,3.92,6.78,3.16,0.65,1.35,0.27,14.07,99.77
2015,3,27,6.04,7.87,6.77,1.65,0.7,1.61,0.32,15.31,109.75
2015,3,28,6.84,10.58,6.88,0.87,0.8,1.84,0.37,16.77,122.12
2015,3,29,7.03,10.96,7.03,0.84,0.81,1.91,0.38,16.91,123.59
2015,3,30,6.63,8.23,7.06,1.93,0.76,1.84,0.37,16.29,117.7
2015,3,31,6.76,9.58,7.04,1.18,0.77,1.78,0.36,16.56,120.17
2015,4,1,5.13,3.69,6.95,2.99,0.58,1.48,0.3,13.13,93.44
2015,4,2,3.77,1.62,6.97,2.79,0.42,1.09,0.22,10.29,70.98
2015,4,3,6.43,7.93,7.41,1.81,0.71,1.46,0.3,15.5,111.98
2015,4,4,7.22,10.57,7.53,1.08,0.8,1.62,0.33,17.1,124.3
2015,4,5,7.19,10.51,7.39,1.13,0.79,1.8,0.36,17.31,125.87
2015,4,6,7.4,11.07,7.54,1,0.8,1.9,0.38,17.72,128.81
2015,4,7,7.05,9.06,7.49,1.52,0.77,1.77,0.35,17.06,123.39
2015,4,8,5.92,6.21,7.58,2.26,0.63,1.54,0.3,14.86,105.6
2015,4,9,5.76,6.08,7.57,2.17,0.62,1.42,0.28,14.61,103.53
2015,4,10,5.67,4.82,7.55,2.81,0.6,1.51,0.3,14.5,102.89
2015,4,11,5.89,3.68,7.56,3.68,0.62,1.55,0.3,15.08,107.15
2015,4,12,6.62,8.16,7.69,2.32,0.7,1.73,0.34,16.43,118.49
2015,4,13,7.59,10.68,7.78,1.22,0.79,2.02,0.41,18.43,133.55
2015,4,14,6.66,7.92,7.79,1.8,0.69,1.88,0.38,16.66,119.05
2015,4,15,5.74,5.05,7.93,2.79,0.59,1.63,0.33,14.68,103.43
2015,4,16,2.62,1.15,7.64,1.85,0.27,0.88,0.17,7.81,52.2
2015,4,17,3.41,3.17,7.8,1.54,0.35,1,0.2,9.41,65.03
2015,4,18,3.82,2.1,7.82,2.38,0.39,1.1,0.22,10.66,72.66
2015,4,19,4.87,2.37,8,3.38,0.49,1.4,0.27,13.35,91.1
2015,4,20,5.83,4.94,7.91,2.66,0.59,1.7,0.34,15.17,106.51
2015,4,21,6.3,5.34,7.95,3.04,0.62,1.82,0.36,16.42,115.3
2015,4,22,4.78,4.12,7.81,2.31,0.48,1.45,0.29,12.57,89.02
2015,4,23,5.5,4.02,7.93,3.15,0.55,1.62,0.32,14.34,101.63
2015,4,24,4.17,2.7,7.89,2.62,0.41,1.16,0.23,11.12,78.45
2015,4,25,5.18,2.57,7.98,3.54,0.51,1.52,0.3,13.91,97.52
2015,4,26,2.04,0.88,8.11,1.53,0.2,0.68,0.13,6.54,42.73
2015,4,27,3.42,1.59,7.96,2.47,0.33,1.04,0.2,10.02,67.17
2015,4,28,7.02,8.48,8.23,1.94,0.68,1.8,0.36,17.79,127.5
2015,4,29,7.86,10.4,8.39,1.37,0.76,2.35,0.47,19.94,141.48
2015,4,30,5.73,5.69,8.28,2.51,0.55,1.95,0.39,15.48,107.58
2015,5,1,3.76,3.14,8.11,1.81,0.36,1.33,0.27,10.57,73.03
2015,5,2,4.55,3.05,8.21,2.73,0.43,1.51,0.3,12.32,86.13
2015,5,3,3.56,1.53,8.15,2.6,0.34,1.25,0.25,10.3,70.2
2015,5,4,3.49,1.37,8.08,2.56,0.33,1.34,0.27,10.42,70.09
2015,5,5,2.82,0.99,8.37,2.17,0.27,1.16,0.23,9.05,58.97
2015,5,6,4.18,1.55,8.42,3.09,0.39,1.58,0.31,12.42,82.84
2015,5,7,4.75,3.17,8.43,2.76,0.45,1.62,0.32,13.38,91.77
2015,5,8,3.99,2.14,8.42,2.5,0.37,1.45,0.29,11.68,78.73
2015,5,9,3.47,2.02,8.49,2.15,0.32,1.21,0.24,9.95,68.05
2015,5,10,4.35,1.62,8.75,3.2,0.4,1.47,0.29,12.77,85.29
2015,5,11,8.03,10.13,8.83,1.52,0.73,2.26,0.45,20.4,144.38
2015,5,12,5.92,4.24,8.69,3.28,0.54,2.04,0.41,16.1,111.8
2015,5,13,4.08,1.86,8.4,2.94,0.38,1.47,0.3,11.7,80.12
2015,5,14,5.65,1.89,8.72,4.27,0.52,1.88,0.38,15.61,107.2
2015,5,15,4.21,1.6,8.63,3.09,0.38,1.5,0.3,12.15,82.23
2015,5,16,5.02,4.53,8.83,2.33,0.45,1.41,0.28,13.77,95.32
2015,5,17,6.23,5.13,8.88,2.98,0.56,1.85,0.37,16.92,117.27
2015,5,18,3.82,1.63,8.6,2.68,0.34,1.41,0.28,11.27,75.48
2015,5,19,3.25,1.59,8.87,2.23,0.29,1.2,0.24,9.88,65.62
2015,5,20,5.08,3.25,8.82,3.02,0.45,1.62,0.32,14,96.66
2015,5,21,4.31,2.78,8.63,2.59,0.38,1.43,0.29,12.15,84.2
2015,5,22,5.23,2.65,8.71,3.29,0.47,1.83,0.37,14.47,99.56
2015,5,23,4.41,2.94,8.91,2.65,0.39,1.37,0.27,12.27,84.91
2015,5,24,5.4,3.23,8.79,3.46,0.48,1.63,0.33,14.55,102.3
2015,5,25,6.63,4.74,8.93,3.38,0.59,2.07,0.41,17.67,123.23
2015,5,26,5.34,3.39,8.91,3.02,0.47,1.7,0.34,14.63,100.34
