-BEGIN HEADER-,,,,,,,,,,,Los Angeles
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,
Dates (month/day/year): 01/01/2015 through 11/16/2024 ,,,,,,,,,,,
Location: Latitude  34.1575   Longitude -118.1872 ,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 395.0 meters,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) ,,,,,,,,,,,
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) ,,,,,,,,,,,
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) ,,,,,,,,,,,
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_PAR_TOT
2015,1,1,3.59,8.04,3.62,0.56,0.75,0.43,0.09,7.18,60.85
2015,1,2,3.56,7.96,3.56,0.52,0.74,0.53,0.11,7.2,61.04
2015,1,3,3.5,7.77,3.5,0.55,0.73,0.52,0.1,7.14,60.8
2015,1,4,3.25,6.04,3.5,1.09,0.67,0.49,0.1,6.73,56.33
2015,1,5,3.43,7.06,3.49,0.65,0.7,0.49,0.1,7.18,60.55
2015,1,6,3.63,7.97,3.65,0.57,0.74,0.53,0.11,7.48,63.02
2015,1,7,3.51,6.7,3.72,0.88,0.72,0.54,0.11,7.34,60.55
2015,1,8,3.45,6.43,3.5,0.7,0.7,0.55,0.11,7.34,61.34
2015,1,9,2.65,2.71,3.34,1.6,0.54,0.45,0.09,6.07,48.17
2015,1,10,1.59,1.04,3.36,1.23,0.32,0.3,0.06,4.16,30.4
2015,1,11,1.47,0.71,3.27,1.17,0.3,0.31,0.06,3.98,28.56
2015,1,12,3.05,4.19,3.47,1.46,0.61,0.45,0.09,6.76,55.04
2015,1,13,3.76,8.34,3.74,0.46,0.74,0.56,0.11,7.86,66.2
2015,1,14,3.89,8.73,3.87,0.46,0.77,0.6,0.12,8.09,67.84
2015,1,15,3.88,8.5,3.88,0.51,0.76,0.61,0.12,8.02,67.27
2015,1,16,3.44,5.52,3.76,1.33,0.66,0.6,0.12,7.52,61.43
2015,1,17,3.7,7.57,3.77,0.67,0.71,0.67,0.13,7.97,66.48
2015,1,18,3.44,4.78,3.78,1.4,0.66,0.7,0.14,7.57,61.33
2015,1,19,3.75,7.01,3.81,0.73,0.71,0.72,0.15,8.1,67.2
2015,1,20,1.66,0.82,3.62,1.34,0.31,0.4,0.08,4.36,31.41
2015,1,21,3.95,7.98,3.97,0.59,0.74,0.58,0.12,8.31,69.15
2015,1,22,3.51,3.66,4.11,1.85,0.66,0.58,0.12,7.78,61.65
2015,1,23,4.13,8.61,4.14,0.55,0.76,0.63,0.12,8.62,71.65
2015,1,24,4.13,8.56,4.16,0.54,0.76,0.66,0.13,8.8,72.68
2015,1,25,4,7.39,4.12,0.71,0.73,0.7,0.14,8.84,71.86
2015,1,26,2.32,1.11,3.94,1.84,0.41,0.51,0.1,5.88,43.2
2015,1,27,2.73,3.08,3.85,1.28,0.48,0.56,0.11,6.49,50.17
2015,1,28,2.89,1.3,4.12,2.27,0.52,0.62,0.12,7.03,53.02
2015,1,29,2.35,0.9,3.95,1.92,0.41,0.55,0.11,6.08,44.54
2015,1,30,2.57,1.51,4.07,1.83,0.45,0.59,0.12,6.65,48.66
2015,1,31,3.97,7.36,4.25,0.7,0.69,0.7,0.14,8.98,72.2
2015,2,1,4.28,7.49,4.44,1.08,0.73,0.73,0.15,9.38,75.58
2015,2,2,4.19,6.47,4.3,1.04,0.71,0.73,0.15,9.19,74.21
2015,2,3,4.12,6.05,4.3,1.26,0.7,0.73,0.15,9.06,73.06
2015,2,4,4.34,8.03,4.37,0.71,0.73,0.73,0.15,9.47,77.3
2015,2,5,4.38,7.74,4.45,0.86,0.73,0.77,0.16,9.63,78.06
2015,2,6,4.35,7.13,4.57,0.98,0.71,0.85,0.17,9.57,77.12
2015,2,7,2.19,2.36,4.28,1.19,0.36,0.59,0.12,5.72,42.11
2015,2,8,4.19,6.87,4.36,0.92,0.67,0.93,0.19,9.65,77.62
2015,2,9,4.76,9.15,4.81,0.54,0.76,1,0.2,10.41,84.23
2015,2,10,4.87,9.38,4.88,0.57,0.77,0.99,0.2,10.6,85.63
2015,2,11,4.6,7.55,4.91,1.32,0.72,0.97,0.2,10.24,81.73
2015,2,12,4.9,9.02,4.91,0.58,0.76,0.99,0.2,10.77,86.93
2015,2,13,4.81,8.6,4.8,0.68,0.74,0.98,0.2,10.62,86.18
2015,2,14,4.75,8.02,4.87,0.94,0.73,0.97,0.2,10.34,83.92
2015,2,15,4.84,8.59,4.81,0.64,0.73,0.99,0.2,10.62,86.73
2015,2,16,4.85,8.46,4.91,0.69,0.73,1,0.2,10.72,86.74
2015,2,17,4.91,8.44,4.99,0.75,0.73,0.97,0.2,10.76,87.03
2015,2,18,4.96,8.15,5.01,0.81,0.73,0.98,0.2,10.77,87.26
2015,2,19,4.78,7.31,5.04,1.03,0.7,1.1,0.22,10.51,84.26
2015,2,20,4.45,3.93,5.13,2.4,0.64,1.04,0.2,10.21,79.76
2015,2,21,4.41,6.46,5.23,1.21,0.63,0.91,0.19,9.98,78.56
2015,2,22,1.58,1.08,4.98,1.11,0.23,0.38,0.08,4.28,30.63
2015,2,23,3.61,4.31,5.32,1.51,0.51,0.66,0.13,8.39,64.55
2015,2,24,5.61,10.22,5.59,0.59,0.78,0.93,0.19,12.26,97.89
2015,2,25,5.5,9.71,5.55,0.71,0.77,1.05,0.21,12.14,96.91
2015,2,26,5.1,7.53,5.38,1.34,0.7,1.07,0.22,11.62,92.01
2015,2,27,3.54,4.02,5.34,1.49,0.48,0.91,0.18,8.7,65.61
2015,2,28,4.13,5,5.65,1.6,0.55,0.92,0.19,9.86,74.91
2015,3,1,3.3,2.51,5.52,1.91,0.45,0.7,0.14,8.33,61.21
2015,3,2,3.65,3.6,5.45,1.67,0.48,0.66,0.13,8.76,66.76
2015,3,3,4.98,7.1,5.59,1.22,0.66,0.85,0.17,11.16,88.21
2015,3,4,5.89,9.59,5.94,0.83,0.77,0.99,0.2,12.88,102.12
2015,3,5,6.05,10.32,6.06,0.65,0.78,1.16,0.23,13.41,105.71
2015,3,6,6.07,9.84,6.07,0.82,0.78,1.15,0.23,13.16,104.56
2015,3,7,5.88,9.13,5.95,0.94,0.75,-999,0.24,13,103.16
2015,3,8,5.93,9,5.94,0.91,0.75,1.23,0.25,13.05,103.87
2015,3,9,6.01,9.25,6.02,0.86,0.75,1.25,0.25,13.28,105.38
2015,3,10,5.4,5.65,6.04,2.3,0.67,1.23,0.24,12.3,95.86
2015,3,11,1.89,0.72,5.84,1.48,0.23,0.62,0.12,5.57,38.38
2015,3,12,6.05,9.52,6.17,0.82,0.74,1.38,0.28,13.77,108.26
2015,3,13,6.28,9.79,6.33,0.8,0.77,1.51,0.3,14.5,112.78
2015,3,14,5.69,6.56,6.23,1.78,0.69,1.56,0.31,13.43,103.5
2015,3,15,4.56,2.47,6.15,3.2,0.55,1.44,0.27,11.29,84.52
2015,3,16,5.45,4.98,6.18,2.55,0.65,1.59,0.3,12.69,98.54
2015,3,17,4.62,2.56,6.13,3.02,0.55,1.39,0.27,11.28,85.18
2015,3,18,3.78,1.43,5.77,2.88,0.45,1.1,0.22,9.4,71.35
2015,3,19,6.26,8.81,6.33,0.99,0.73,1.47,0.3,14.35,112.63
2015,3,20,6.5,8.62,6.71,1.18,0.75,1.55,0.31,14.7,114.14
2015,3,21,6.23,8.46,6.53,1.21,0.72,1.59,0.31,14.3,111.66
2015,3,22,5.4,5.17,6.53,2.17,0.62,1.42,0.28,12.88,98.18
2015,3,23,6.27,8.65,6.69,1.16,0.71,1.51,0.3,14.57,113.07
2015,3,24,6.52,8.86,6.7,1.01,0.73,1.54,0.31,15.27,118.37
2015,3,25,6.82,10.1,6.86,0.82,0.77,1.59,0.32,15.7,122.11
2015,3,26,6.94,10.43,6.95,0.74,0.77,1.74,0.35,15.98,124.19
2015,3,27,6.87,10.12,6.89,0.8,0.76,1.77,0.35,15.7,122.95
2015,3,28,7.05,10.52,7.08,0.76,0.77,1.72,0.34,16.02,124.75
2015,3,29,6.97,9.9,7.12,0.97,0.76,1.63,0.33,15.74,122.54
2015,3,30,6.97,10.07,7.03,0.83,0.76,1.64,0.33,15.69,123.19
2015,3,31,6.73,8.07,7.06,1.65,0.73,1.8,0.36,15.62,120.82
2015,4,1,7.2,10.13,7.33,0.96,0.77,1.86,0.37,16.43,127.12
2015,4,2,7.44,10.94,7.46,0.74,0.8,1.9,0.38,16.81,129.98
2015,4,3,7.38,10.4,7.45,0.96,0.78,1.82,0.37,16.55,128.55
2015,4,4,7.31,10.25,7.34,1,0.77,1.81,0.36,16.55,128.87
2015,4,5,6.91,9.01,7.42,1.4,0.73,1.73,0.34,16.12,123.37
2015,4,6,6.8,8.33,7.56,1.42,0.71,1.61,0.32,15.92,120.34
2015,4,7,4.1,4,7.25,1.78,0.42,1.05,0.2,10.34,76.16
2015,4,8,7.33,10.49,7.67,0.85,0.76,1.66,0.34,16.93,129.54
2015,4,9,6.92,8.2,7.53,1.99,0.71,1.6,0.32,16.05,123.44
2015,4,10,6.48,5.53,7.39,2.88,0.66,1.5,0.3,15.14,116.58
2015,4,11,7.19,9.31,7.31,1.37,0.73,1.56,0.31,16.16,127.43
2015,4,12,7.53,10.47,7.56,0.87,0.77,1.77,0.36,17.03,132.72
2015,4,13,7.46,10.27,7.54,0.89,0.75,1.87,0.38,17.32,133.92
2015,4,14,7.42,10.51,7.9,0.95,0.74,1.88,0.38,17.37,132.13
2015,4,15,7.95,11.66,7.98,0.74,0.8,1.96,0.39,18.34,140.39
2015,4,16,8.14,11.9,8.17,0.75,0.81,2.03,0.41,18.35,140.8
2015,4,17,7.88,11.29,7.9,0.77,0.78,2.09,0.41,18.13,139.77
2015,4,18,7.82,10.92,7.84,0.88,0.77,2.05,0.41,18.07,139.37
2015,4,19,7.79,10.64,7.81,0.93,0.77,1.88,0.38,17.74,137.88
2015,4,20,7.42,9.52,7.63,1.1,0.73,1.77,0.35,17.1,132.98
2015,4,21,4.26,2.39,7.4,2.68,0.41,1.12,0.22,10.79,79.8
2015,4,22,5.21,4.64,7.46,2.08,0.51,1.31,0.26,12.87,97.09
2015,4,23,4.56,3.65,7.36,2.14,0.44,1.16,0.23,11.31,85.52
2015,4,24,3.75,2.34,7.72,2.04,0.36,1.07,0.21,10.05,71.1
2015,4,25,3.82,2.15,7.64,2.52,0.37,1.11,0.22,10.23,73.72
2015,4,26,7.68,9.27,7.97,1.44,0.73,1.98,0.4,18.54,140.86
2015,4,27,8.19,11.6,8.26,0.79,0.77,2.28,0.45,19.59,148.26
2015,4,28,8.35,11.87,8.38,0.73,0.79,2.29,0.45,19.59,148.99
2015,4,29,7.85,8.77,8.17,1.9,0.74,2.28,0.45,18.76,142.33
2015,4,30,7.39,6.76,8.21,2.94,0.7,2.12,0.42,17.91,135.06
2015,5,1,7.46,7.77,8.19,2.39,0.7,2.01,0.4,17.82,135.21
2015,5,2,8.19,11.12,8.23,0.93,0.77,2.15,0.43,19.33,148.02
2015,5,3,8.21,10.97,8.28,0.91,0.77,2.19,0.44,19.5,148.59
2015,5,4,7.73,9.62,8.21,1.32,0.72,2.14,0.42,18.35,139.96
2015,5,5,5.58,5.31,8.18,1.86,0.52,1.62,0.32,13.92,102.3
2015,5,6,5.5,5.07,8.29,2.07,0.51,1.58,0.31,13.81,101.01
2015,5,7,5.57,4.09,8.27,2.7,0.52,1.48,0.3,13.86,101.49
2015,5,8,3.77,1.73,7.74,2.65,0.34,0.98,0.2,9.94,72.09
2015,5,9,7.34,7.75,8.13,1.91,0.67,1.77,0.36,17.7,134.28
2015,5,10,8.32,10.86,8.35,1.01,0.76,2.07,0.41,19.42,149.3
2015,5,11,7.64,6.66,8.3,2.98,0.7,1.99,0.4,17.98,138
2015,5,12,7.91,9.87,8.54,1.35,0.72,1.97,0.4,18.72,142.14
2015,5,13,6.31,4.76,8.26,3.37,0.57,1.59,0.32,15.38,115.6
2015,5,14,3.86,1.84,8.11,2.73,0.35,1.04,0.2,10.23,74.64
2015,5,15,5.05,3.18,8.15,3.01,0.45,1.26,0.25,12.78,95.14
2015,5,16,6.75,6.41,8.4,2.44,0.61,1.66,0.34,16.55,124.22
2015,5,17,6.06,3.91,8.11,3.4,0.55,1.62,0.32,14.86,112.02
2015,5,18,5.8,5.06,8.22,2.31,0.52,1.46,0.29,14.23,106.7
2015,5,19,8.28,10.16,8.53,1.33,0.74,2.05,0.41,19.59,149.7
2015,5,20,8.15,9.59,8.48,1.42,0.73,2.13,0.43,19.38,147.73
2015,5,21,4.77,3.77,8.33,2.11,0.42,1.31,0.27,12.09,88.55
2015,5,22,4.39,2.61,7.89,2.53,0.39,1.17,0.23,10.98,81.7
2015,5,23,6.44,6.62,8.31,1.83,0.57,1.68,0.34,15.88,119.17
2015,5,24,7.43,8.85,8.42,1.42,0.66,1.98,0.4,18.3,138.37
2015,5,25,7.59,9.08,8.5,1.44,0.67,1.95,0.39,18.45,140.12
2015,5,26,6.73,4.11,8.49,3.86,0.59,1.96,0.39,16.69,125.03
