YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_PAR_TOT
2015,1,1,3.16,2.56,4.17,1.9,0.5,0.85,0.16,7.84,60.78
2015,1,2,3.61,4.14,4.23,1.61,0.57,0.92,0.18,8.6,69
2015,1,3,3.47,2.62,4.22,2.25,0.55,0.93,0.18,8.4,66.4
2015,1,4,3.51,4.45,4.29,1.56,0.55,0.91,0.18,8.41,67.09
2015,1,5,4.07,6.08,4.32,1.18,0.64,1.03,0.2,9.43,77.01
2015,1,6,4.12,6.35,4.35,1.06,0.65,1.08,0.21,9.51,78.08
2015,1,7,3.97,5.71,4.27,1.07,0.62,1.05,0.2,9.24,75.5
2015,1,8,3.73,3.27,4.42,2.17,0.58,1,0.2,8.78,69.84
2015,1,9,3.15,2.43,4.32,1.99,0.49,0.81,0.16,7.88,60.62
2015,1,10,3.82,5.26,4.32,1.16,0.59,0.95,0.19,8.95,72.41
2015,1,11,2.88,2.77,4.34,1.64,0.45,0.85,0.16,7.31,55.71
2015,1,12,2.13,0.81,4.21,1.74,0.33,0.73,0.14,5.99,42.56
2015,1,13,3.62,4.3,4.3,1.5,0.55,1.05,0.2,8.89,70.62
2015,1,14,3.29,2.98,4.44,1.75,0.5,1.01,0.2,8.3,63.61
2015,1,15,3.28,2.82,4.25,1.86,0.5,0.87,0.16,7.85,62.05
2015,1,16,3.46,3.05,4.37,1.77,0.52,0.98,0.19,8.66,67.02
2015,1,17,4.31,5.83,4.59,1.36,0.65,1.08,0.21,10,81.1
2015,1,18,3.83,4.97,4.53,1.49,0.57,0.98,0.2,9.2,73.58
2015,1,19,4.49,5.36,4.97,1.87,0.67,1.04,0.2,10.17,81.66
2015,1,20,1.43,0.78,4.6,1.1,0.21,0.47,0.09,4.3,28.88
2015,1,21,4.36,6.25,4.67,1.2,0.64,1.04,0.2,10.15,82.34
2015,1,22,4.31,5.8,4.67,1.39,0.63,1.06,0.21,10.04,81.16
2015,1,23,3.78,2.9,4.6,2.31,0.55,1.02,0.2,9.25,72.64
2015,1,24,1.92,0.85,4.54,1.5,0.28,0.65,0.12,5.57,38.65
2015,1,25,4.93,6.68,5.12,1.18,0.71,1.19,0.23,11.09,89.8
2015,1,26,3.86,4.37,4.77,1.7,0.55,1.06,0.21,9.35,73.03
2015,1,27,5.09,8.51,5.15,0.62,0.73,1.16,0.23,11.48,93.44
2015,1,28,5.17,8.03,5.21,0.79,0.73,1.04,0.21,11.17,92.02
2015,1,29,4.31,5.65,5.16,1.35,0.61,0.95,0.19,10.07,79.39
2015,1,30,5.02,7.42,5.14,0.96,0.7,1.08,0.22,11.34,92.25
2015,1,31,4.48,4.85,5.15,1.91,0.62,1.05,0.21,10.43,82.71
2015,2,1,4.29,5.04,5.07,1.76,0.59,1.06,0.21,10.19,80.58
2015,2,2,4.28,4.84,4.94,1.66,0.59,1.09,0.22,10.25,81.68
2015,2,3,4.76,6.67,5.01,1.17,0.65,1.23,0.24,11.15,90.34
2015,2,4,3.78,3.46,4.86,1.83,0.52,1.09,0.21,9.23,71.86
2015,2,5,1.12,0.46,4.94,0.87,0.15,0.45,0.09,3.62,23.62
2015,2,6,4.44,5.38,5.3,1.62,0.59,1.14,0.23,10.58,83.24
2015,2,7,4.5,3.61,5.45,2.63,0.6,1.04,0.2,10.89,84.75
2015,2,8,4.76,6.12,5.42,1.53,0.63,1.11,0.22,11.34,89.55
2015,2,9,3.31,2.26,5.13,2,0.44,0.95,0.19,8.73,64.82
2015,2,10,5.2,6.98,5.47,1.24,0.68,1.29,0.26,11.97,95.8
2015,2,11,5.65,8.57,5.65,0.82,0.73,1.3,0.26,12.33,100.78
2015,2,12,4.75,5.91,5.23,1.48,0.62,1.16,0.23,10.61,86.3
2015,2,13,5.37,7.58,5.39,1.07,0.69,1.21,0.24,11.69,97.16
2015,2,14,5.24,6.39,5.69,1.49,0.67,1.15,0.23,11.56,93.46
2015,2,15,5.77,8.56,5.76,0.86,0.73,1.3,0.27,12.73,103.78
2015,2,16,5.05,5.68,5.6,1.75,0.64,1.3,0.26,11.82,93.82
2015,2,17,5.11,5.91,5.53,1.8,0.64,1.44,0.28,12.2,96.96
2015,2,18,2.17,1.57,5.55,1.46,0.27,0.79,0.16,6.28,43.92
2015,2,19,6.2,9.58,6.22,0.64,0.77,1.49,0.3,13.8,110.84
2015,2,20,5.32,7.36,6.14,0.96,0.66,1.26,0.25,12.22,96.14
2015,2,21,3.8,2.56,5.92,2.28,0.47,1.12,0.22,9.95,72.97
2015,2,22,4.32,3.95,5.74,2.04,0.52,1.28,0.25,10.94,83.84
2015,2,23,4.71,4.91,5.64,1.68,0.57,1.37,0.27,11.55,90.23
2015,2,24,5.4,6.3,5.69,1.54,0.65,1.46,0.29,12.84,102.45
2015,2,25,4.89,5.64,5.79,1.54,0.59,1.34,0.27,11.81,92.73
2015,2,26,4.12,2.66,5.9,2.64,0.49,1.28,0.25,10.86,80.4
2015,2,27,4.07,3.22,5.61,2.01,0.48,1.21,0.24,10.27,78.68
2015,2,28,3.88,3.05,5.68,2.05,0.45,1.17,0.23,9.98,76.23
2015,3,1,5.5,6.42,5.93,1.77,0.64,1.52,0.3,13.27,105.64
2015,3,2,5.85,7.69,6.07,1.22,0.68,1.62,0.32,13.77,110.03
2015,3,3,5.64,6.68,6.12,1.63,0.65,1.62,0.32,13.46,106.2
2015,3,4,5.6,6.26,6.16,1.92,0.64,1.58,0.31,13.4,105.7
2015,3,5,5.85,6.88,6.22,1.64,0.66,1.7,0.34,14.2,111.14
2015,3,6,5.77,6.74,6.19,1.64,0.66,1.68,0.33,13.77,109.06
2015,3,7,4.22,2.76,6.11,2.46,0.48,1.51,0.3,11.02,82.08
2015,3,8,3.22,1.77,6.19,2.31,0.36,1.23,0.24,9.03,64.53
2015,3,9,5.96,7.4,6.46,1.49,0.66,1.9,0.37,14.45,112.8
2015,3,10,5.83,6.59,6.34,1.61,0.65,1.91,0.38,14.32,111.23
2015,3,11,5.69,5.82,6.24,2.12,0.63,1.79,0.35,13.85,109.29
2015,3,12,5.83,6.3,6.41,1.97,0.64,1.85,0.37,14.25,111.45
2015,3,13,5.58,5.51,6.51,2.25,0.61,1.83,0.36,13.71,106.45
2015,3,14,6.18,7.32,6.54,1.66,0.67,1.91,0.38,15.07,117.91
2015,3,15,5.86,6.42,6.42,1.84,0.63,1.76,0.34,14.06,111.21
2015,3,16,5.62,6.03,6.32,1.68,0.61,1.7,0.34,13.75,107.66
2015,3,17,6.07,6.96,6.51,1.73,0.65,1.61,0.32,14.41,114.46
2015,3,18,6.19,7.13,6.62,1.69,0.66,1.78,0.35,14.83,116.95
2015,3,19,5.75,5.36,6.5,2.1,0.61,1.71,0.34,13.84,108.66
2015,3,20,6.39,7.48,6.66,1.58,0.67,1.9,0.38,15.22,120.52
2015,3,21,6.65,8.27,6.69,1.13,0.7,2.02,0.4,15.92,125.9
2015,3,22,6.02,6.32,6.57,2.05,0.63,1.82,0.36,14.3,113.58
2015,3,23,5.65,3.7,6.47,2.98,0.59,1.77,0.35,13.63,107.37
2015,3,24,5.34,4.62,6.59,2.15,0.55,1.73,0.34,13.18,102
2015,3,25,5.97,5.88,6.66,1.88,0.62,1.94,0.38,14.47,113.1
2015,3,26,5.57,4.4,6.43,2.6,0.57,1.91,0.38,13.52,106.89
2015,3,27,5.5,4.05,6.64,2.88,0.56,1.99,0.39,13.91,106.91
2015,3,28,4.82,2.58,7.37,3.05,0.49,1.72,0.34,12.6,91.41
2015,3,29,7.03,8.82,7.2,1.23,0.72,1.9,0.38,16.52,130.05
2015,3,30,6.84,7.86,7.37,1.88,0.7,2.02,0.4,16.24,126.38
2015,3,31,7.14,9.15,7.24,1.05,0.72,2.14,0.42,16.82,132.34
2015,4,1,6.94,8.33,7.11,1.5,0.7,2.1,0.41,16.2,128.92
2015,4,2,6.66,7.26,7.1,1.94,0.66,1.92,0.38,15.67,124.07
2015,4,3,7.09,8.66,7.25,1.33,0.71,2.05,0.41,16.67,131.81
2015,4,4,6.96,8.28,7.26,1.51,0.7,2.08,0.41,16.7,130.84
2015,4,5,6.64,6.89,7.16,2.07,0.66,1.96,0.39,15.91,124.83
2015,4,6,6.53,6.48,7.11,2.23,0.65,2.04,0.41,15.88,124.19
2015,4,7,6.18,5.63,7.06,2.37,0.61,2.02,0.4,15.36,118.85
2015,4,8,6.02,5.59,7.12,2.27,0.59,1.96,0.39,15.11,116.49
2015,4,9,6.73,7.21,7.24,1.91,0.66,1.98,0.39,16.41,128.04
2015,4,10,6.51,6.29,7.24,2.17,0.63,2.05,0.41,16.3,125.54
2015,4,11,6.28,6.02,7.33,2.26,0.61,2.05,0.41,15.93,121.49
2015,4,12,5.48,3.67,6.94,2.87,0.53,1.83,0.36,13.84,106.47
2015,4,13,6.29,5.87,7.13,2.24,0.61,2.02,0.4,15.6,121.38
2015,4,14,6.8,7.36,7.26,1.86,0.66,2.11,0.41,16.6,130.34
2015,4,15,6.91,7.3,7.27,1.87,0.66,2.27,0.45,16.91,132.29
2015,4,16,6.85,6.94,7.36,1.99,0.66,2.29,0.45,17.04,131.91
2015,4,17,6.39,5.52,7.3,2.44,0.61,2.2,0.43,16.16,123.77
2015,4,18,6.62,6.28,7.22,2.09,0.63,2.2,0.43,16.36,127.21
2015,4,19,6.69,5.97,7.16,2.25,0.63,2.15,0.42,16.43,128.53
2015,4,20,5.93,4.11,7.09,2.98,0.56,1.98,0.39,14.95,115.86
2015,4,21,3.23,1.37,7.05,2.29,0.3,1.27,0.25,9.42,66.72
2015,4,22,3.25,1.24,7.03,2.36,0.3,1.32,0.27,9.41,66.62
2015,4,23,4.91,3.13,6.93,2.57,0.46,1.71,0.34,12.73,96.77
2015,4,24,5.71,3.95,7.02,2.79,0.54,1.95,0.38,14.31,111.44
2015,4,25,6.22,4.96,6.87,2.69,0.58,2.04,0.4,14.76,119.13
2015,4,26,7.17,7.84,7.28,1.67,0.67,2.48,0.48,17.3,137.75
2015,4,27,6.23,5.54,7.25,2.15,0.58,2.23,0.43,15.59,120.68
2015,4,28,3.1,1.01,7.08,2.35,0.29,1.27,0.25,8.72,63.61
2015,4,29,0.79,0.34,6.75,0.59,0.07,0.3,0.06,2.55,17.67
2015,4,30,2.89,1.1,6.9,2.06,0.27,1.07,0.21,7.94,58.41
2015,5,1,7.58,8.33,7.75,1.45,0.7,2.56,0.49,18.45,143.23
2015,5,2,5.67,3.82,7.54,3.03,0.52,1.92,0.38,14.55,109.39
2015,5,3,6.94,6.81,7.84,2.31,0.64,2.21,0.44,17.28,132.58
2015,5,4,4.72,2.19,7.71,3.27,0.44,1.52,0.3,12.62,93.25
2015,5,5,2.97,1.05,7.72,2.23,0.27,1.15,0.23,9.05,61.74
2015,5,6,6.85,7.02,7.74,1.95,0.62,2.17,0.43,17.37,133.05
2015,5,7,7.14,7.92,7.76,1.54,0.66,2.23,0.45,17.85,137.86
2015,5,8,7.4,8.33,7.77,1.44,0.68,2.25,0.45,18.31,141.89
2015,5,9,7.21,7.61,7.67,1.66,0.66,2.02,0.41,17.74,138.37
2015,5,10,7.08,6.33,7.44,2.48,0.65,2,0.4,17.34,136.73
2015,5,11,7.11,6.99,7.6,2.09,0.65,2.12,0.42,17.7,137.95
2015,5,12,6.8,6.91,7.62,1.95,0.62,2.11,0.41,17.26,133.34
2015,5,13,6.79,6.42,7.63,2.21,0.62,2.09,0.41,17.2,132.48
2015,5,14,6.8,6.55,7.71,2.06,0.62,2.15,0.42,17.17,132.16
2015,5,15,7.17,6.87,7.77,2.28,0.65,2.21,0.44,17.77,138.02
2015,5,16,7.14,7.42,7.83,1.93,0.65,2.23,0.44,17.91,138.2
2015,5,17,6.68,6.26,7.77,2.36,0.6,2.15,0.43,17.16,131.56
2015,5,18,6.81,6.46,7.73,2.36,0.62,2.13,0.42,17.14,132.33
2015,5,19,7.16,7.3,7.91,2.05,0.65,2.21,0.44,17.84,137.56
2015,5,20,7.28,7.78,7.94,1.86,0.66,2.2,0.44,18.07,139.61
2015,5,21,6.41,5.65,7.65,2.27,0.58,2.11,0.41,16.5,125.68
2015,5,22,6.53,6.08,7.65,2.06,0.59,2.07,0.41,16.63,127.7
2015,5,23,6.57,5.44,7.66,2.38,0.59,2.16,0.43,16.86,128.59
2015,5,24,7.02,6.85,7.85,2.14,0.63,2.27,0.45,17.95,137.71
2015,5,25,6.78,6.08,7.66,2.37,0.61,2.26,0.45,17.31,133.49
2015,5,26,6.93,7.38,7.97,1.79,0.62,2.33,0.46,17.79,135.04
2015,5,27,7.02,5.99,7.81,2.68,0.63,2.25,0.45,17.45,135.02
2015,5,28,6.05,4.45,7.98,2.82,0.54,1.98,0.39,15.72,117.35
2015,5,29,7.4,7.58,8.13,2.13,0.66,2.35,0.47,18.54,141.91
2015,5,30,6.65,6.15,7.9,2.2,0.59,2.16,0.43,17.12,129.98
2015,5,31,6.42,6.91,7.9,2.4,0.57,2.12,0.42,16.83,126.61
2015,6,1,5.5,3.66,7.85,2.84,0.49,1.84,0.37,14.72,109.21
2015,6,2,2.32,0.74,7.55,1.77,0.2,0.92,0.19,7.18,49.17
2015,6,3,4.64,2.45,7.32,3.03,0.41,1.63,0.32,12.3,93.48
2015,6,4,5.78,3.33,7.67,3.43,0.52,2,0.4,15.29,115.05
2015,6,5,3.51,1.12,7.76,2.65,0.31,1.44,0.28,10.48,73.09
2015,6,6,4.28,1.93,7.62,2.87,0.38,1.6,0.32,11.92,86.56
2015,6,7,6.08,4.9,7.65,2.47,0.54,2.01,0.4,15.79,119.64
2015,6,8,5.95,4.97,7.74,2.26,0.53,2.07,0.41,15.81,117.95
2015,6,9,5.33,4.5,7.75,2.36,0.48,1.75,0.35,14.29,106.61
2015,6,10,5.92,2.96,7.38,3.69,0.52,1.96,0.39,15.19,117.44
2015,6,11,5.08,1.88,7.33,3.68,0.45,1.78,0.35,13.31,101.66
2015,6,12,6.08,3.18,7.46,3.5,0.54,2.13,0.42,15.77,120.67
2015,6,13,5.92,2.86,7.74,3.58,0.53,2.23,0.44,16.02,118.76
2015,6,14,5.22,2.15,7.87,3.67,0.46,2.07,0.41,14.64,106.25
2015,6,15,4.86,2.24,7.7,3.12,0.43,1.93,0.38,13.81,99.23
2015,6,16,7.32,7.53,7.89,2,0.65,2.5,0.49,18.84,144.48
2015,6,17,7.09,6.99,7.88,2.18,0.63,2.36,0.46,18.28,139.99
2015,6,18,7.5,7.89,7.83,1.75,0.66,2.42,0.48,19.09,146.91
2015,6,19,7.22,7.5,7.88,1.8,0.64,2.41,0.48,18.57,142.3
2015,6,20,6.47,5.14,7.82,2.6,0.58,2.33,0.45,17.02,127.97
2015,6,21,6.8,6.18,7.81,2.38,0.61,2.36,0.46,17.54,134.34
2015,6,22,6.69,5.6,7.62,2.68,0.59,2.28,0.45,17.2,132.13
2015,6,23,7.16,7.39,7.84,1.8,0.64,2.45,0.48,18.39,140.91
2015,6,24,7.15,6.85,7.68,2.13,0.64,2.37,0.46,18.02,139.77
2015,6,25,6.13,3.74,7.66,3.17,0.55,2.17,0.43,16.19,121.89
2015,6,26,5.73,3.12,7.42,3.22,0.51,2.02,0.4,15.05,114.09
2015,6,27,4.87,3.07,7.5,2.61,0.44,1.72,0.34,13.03,97.74
2015,6,28,6.19,4.18,7.56,3.04,0.55,2.23,0.44,16.03,122.38
2015,6,29,6.4,4.88,7.43,2.62,0.57,2.17,0.42,16.08,124.71
2015,6,30,6.19,3.68,7.34,3.4,0.55,2.12,0.41,15.57,121.09
2015,7,1,6.89,5.27,7.26,2.78,0.62,2.26,0.44,16.92,134.07
2015,7,2,6.77,5.15,7.44,2.8,0.6,2.24,0.44,17.08,133.42
2015,7,3,5.82,4,7.53,2.93,0.52,2.09,0.41,15.32,115.78
2015,7,4,6.95,6.34,7.54,2.42,0.62,2.33,0.45,17.53,136.93
2015,7,5,6.83,5.43,7.4,2.74,0.61,2.29,0.45,16.98,133.41
2015,7,6,6.26,4.21,7.24,3.03,0.56,2.16,0.42,15.72,123.2
2015,7,7,5.73,3.65,7.28,3.06,0.52,1.91,0.38,14.53,112.92
2015,7,8,7,6.08,7.54,2.54,0.62,2.32,0.45,17.55,137.05
2015,7,9,7.34,7.64,7.84,1.93,0.66,2.41,0.48,18.77,144.55
2015,7,10,7.09,7.3,7.81,2.08,0.63,2.27,0.45,18.05,139.55
2015,7,11,7.07,6.72,7.79,2.12,0.63,2.3,0.45,18,138.28
2015,7,12,7.12,6.94,7.8,2.09,0.64,2.3,0.45,17.93,138.59
2015,7,13,6.56,5.9,7.82,2.3,0.59,2.27,0.45,17.13,129.2
2015,7,14,6.07,4.8,7.51,2.48,0.55,2.13,0.42,15.8,119.81
2015,7,15,4.58,2.65,7.45,2.75,0.41,1.62,0.32,12.53,93.09
2015,7,16,3.56,1.28,7.39,2.63,0.32,1.39,0.27,10.22,73.58
2015,7,17,6.42,4.91,7.41,2.78,0.58,2.16,0.42,16.38,126.73
2015,7,18,5.26,3.45,7.36,2.9,0.48,1.8,0.35,13.87,105.23
2015,7,19,6.82,5.73,7.42,2.55,0.62,2.2,0.43,16.94,132.67
2015,7,20,6.35,4.02,7.53,3.24,0.58,2.16,0.42,16.3,124.38
2015,7,21,6.4,5.18,7.48,2.63,0.58,2.16,0.42,16.39,126.16
2015,7,22,6.05,4.45,7.54,2.85,0.55,2.16,0.43,15.94,120.56
2015,7,23,5.86,3.52,7.31,3.26,0.53,2.06,0.41,15.19,116.13
2015,7,24,5.94,3.45,7.28,3.26,0.54,2.14,0.42,15.41,117.43
2015,7,25,3.27,1.05,7.32,2.45,0.3,1.37,0.27,9.77,68.11
2015,7,26,3.31,1.29,7.35,2.38,0.3,1.27,0.25,9.68,68.71
