-BEGIN HEADER-,,,,,,,,,,,New York 
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,
Dates (month/day/year): 01/01/2015 through 11/16/2024 ,,,,,,,,,,,
Location: Latitude  40.7263   Longitude -73.9894 ,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.17 meters,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) ,,,,,,,,,,,
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) ,,,,,,,,,,,
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) ,,,,,,,,,,,
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_PAR_TOT
2015,1,1,2.64,6.31,2.64,0.57,0.7,0.2,0.04,4.88,44.48
2015,1,2,2.17,3.44,2.38,1.03,0.58,0.2,0.04,4.31,37.47
2015,1,3,0.73,0.46,2.33,0.59,0.2,0.11,0.02,1.99,13.88
2015,1,4,0.66,0.38,2.21,0.55,0.17,0.11,0.02,1.91,12.98
2015,1,5,2.37,4.68,2.71,0.88,0.62,0.27,0.05,4.64,40.59
2015,1,6,0.95,0.52,2.63,0.78,0.25,0.11,0.02,2.52,17.48
2015,1,7,1.89,2.47,2.68,1.05,0.49,0.13,0.02,3.84,31.82
2015,1,8,2.55,5.1,2.77,0.76,0.66,0.16,0.03,4.8,42.47
2015,1,9,1.38,1.47,2.54,0.95,0.35,-999,0.03,3.13,24.23
2015,1,10,2.73,5.39,2.85,0.82,0.7,0.25,0.05,5.12,45.37
2015,1,11,2.18,4.1,2.68,0.78,0.55,0.22,0.05,4.32,37.42
2015,1,12,0.4,0.36,2.52,0.3,0.1,0.06,0.02,1.16,7.55
2015,1,13,2.76,5.12,2.75,0.86,0.69,0.3,0.06,5.3,46.66
2015,1,14,1.26,0.93,2.63,0.93,0.31,0.18,0.04,3.12,23.15
2015,1,15,2,2.38,2.71,1.2,0.49,0.21,0.04,4.33,35.02
2015,1,16,2.39,3.86,2.67,0.96,0.58,0.24,0.05,4.74,41
2015,1,17,2.97,6.46,2.96,0.6,0.71,0.23,0.04,5.62,50.24
2015,1,18,0.54,0.4,2.68,0.42,0.12,0.09,0.02,1.59,10.47
2015,1,19,2.05,2.06,2.89,1.32,0.48,0.24,0.05,4.52,36.03
2015,1,20,2.21,2.49,2.93,1.26,0.52,0.23,0.05,4.88,39.41
2015,1,21,1.98,1.77,2.97,1.33,0.46,0.23,0.05,4.52,35.5
2015,1,22,2.15,2.53,2.81,1.24,0.49,-999,0.05,4.62,37.76
2015,1,23,3.12,6.57,3.11,0.61,0.7,0.26,0.05,5.93,52.82
2015,1,24,0.72,0.46,2.82,0.58,0.16,0.11,0.02,2.08,14.2
2015,1,25,2.67,4.33,3.09,1,0.59,0.23,0.05,5.38,46.38
2015,1,26,0.7,0.4,2.95,0.57,0.16,0.1,0.02,2.02,13.55
2015,1,27,1.31,0.6,3.06,1.09,0.28,0.17,0.03,3.45,24.55
2015,1,28,2.91,4.48,3.26,1.21,0.62,0.27,0.05,5.97,50.52
2015,1,29,2.69,3.59,3.2,1.32,0.57,0.24,0.05,5.48,46.02
2015,1,30,1.52,1.33,3.05,0.99,0.32,0.22,0.05,3.58,27.07
2015,1,31,3.27,4.31,3.3,1.49,0.68,0.33,0.06,6.48,55.12
2015,2,1,1.95,1.84,3.24,1.21,0.4,0.26,0.05,4.5,35.18
2015,2,2,0.49,0.31,3.21,0.38,0.1,0.1,0.02,1.52,9.91
2015,2,3,3.14,4.96,3.57,1.1,0.63,0.34,0.07,6.39,53.67
2015,2,4,2.45,2.72,3.38,1.36,0.48,0.31,0.06,5.47,44.07
2015,2,5,1.5,1.72,3.48,0.89,0.3,-999,0.05,3.61,27.3
2015,2,6,2.52,3.45,3.72,1.17,0.49,-999,0.05,5.41,43.76
2015,2,7,1.45,0.64,3.24,1.16,0.28,0.21,0.04,3.68,26.96
2015,2,8,1.5,0.66,2.85,1.22,0.29,0.22,0.05,3.64,28.02
2015,2,9,0.66,0.44,3.33,0.49,0.12,0.14,0.03,1.91,12.96
2015,2,10,2.19,1.19,3.68,1.66,0.41,0.38,0.08,5.5,40.79
2015,2,11,3.07,4.53,4.02,1.23,0.56,0.45,0.09,6.64,53.91
2015,2,12,1.53,0.9,3.54,1.14,0.28,0.24,0.05,3.82,27.98
2015,2,13,3.78,5.37,3.95,1.47,0.68,0.38,0.07,7.45,62.92
2015,2,14,0.95,0.42,3.83,0.78,0.17,0.15,0.03,2.66,18.2
2015,2,15,3.09,2.64,3.94,1.81,0.55,0.38,0.07,6.63,53.02
2015,2,16,3.44,2.78,4.3,2.15,0.6,0.35,0.07,7.38,58.93
2015,2,17,2.12,2.1,4.17,1.18,0.37,0.34,0.07,5.11,38.6
2015,2,18,3.32,3.81,4.25,1.55,0.56,-999,0.09,7.12,57.7
2015,2,19,2.65,2.43,4.33,1.52,0.45,0.27,0.05,5.84,45.38
2015,2,20,3.89,4.8,4.37,1.61,0.65,0.34,0.06,7.86,64.69
2015,2,21,1.52,0.84,4.25,1.17,0.25,0.22,0.05,4.03,28.72
2015,2,22,2.52,2.65,4.29,1.28,0.41,-999,0.08,5.94,46.23
2015,2,23,2.62,2.03,4.6,1.64,0.42,0.41,0.09,6.38,47.32
2015,2,24,3.94,4.57,4.7,1.74,0.62,-999,0.09,8.31,66.93
2015,2,25,3.38,3.64,4.27,1.61,0.53,-999,0.08,7.08,57.53
2015,2,26,2.99,2.06,4.37,1.89,0.47,0.5,0.1,7.01,53.97
2015,2,27,4.25,5.39,4.42,1.6,0.66,0.59,0.12,8.52,71.74
2015,2,28,4.4,6.29,4.95,1.32,0.67,-999,0.12,9.26,75.62
2015,3,1,1.36,0.67,4.51,1.06,0.2,0.25,0.05,3.8,26.49
2015,3,2,3.61,4.71,4.85,1.11,0.54,-999,0.11,8.05,64.25
2015,3,3,2.06,0.85,4.89,1.67,0.3,0.4,0.08,5.61,39.47
2015,3,4,1.54,0.71,4.45,1.2,0.23,0.41,0.09,4.43,30.7
2015,3,5,0.96,0.47,4.92,0.74,0.14,0.33,0.06,3.02,19.57
2015,3,6,4.96,7.94,5.48,1.04,0.71,0.87,0.17,10.41,84.72
2015,3,7,4.54,5.85,5.11,1.32,0.64,0.77,0.16,9.88,79.84
2015,3,8,3.96,4.06,4.98,1.85,0.55,-999,0.14,8.89,70.4
2015,3,9,4.48,5.22,4.83,1.48,0.62,0.67,0.13,9.72,79.17
2015,3,10,2.23,1.09,4.66,1.74,0.3,-999,0.1,5.74,42.77
2015,3,11,3.55,2.82,5.08,2.19,0.48,0.79,0.16,8.54,66.09
2015,3,12,5.52,8.81,5.65,0.92,0.74,0.98,0.2,11.84,96.42
2015,3,13,4.99,6.19,5.19,1.58,0.67,0.84,0.17,10.45,87.26
2015,3,14,1.04,0.57,5.22,0.76,0.14,0.32,0.06,3.38,21.91
2015,3,15,2.11,1.14,5.38,1.5,0.27,0.55,0.11,5.73,40.3
2015,3,16,4.53,4.07,5.6,2.37,0.59,0.65,0.13,10.42,82.24
2015,3,17,3.62,2.91,5.16,2.01,0.47,-999,0.15,8.72,67.16
2015,3,18,5.12,6.15,5.87,1.63,0.66,0.85,0.17,11.27,89.02
2015,3,19,5.86,7.64,6.13,1.57,0.74,1.09,0.22,12.68,101.84
2015,3,20,1.52,0.62,5.7,1.16,0.19,0.42,0.09,4.55,30.62
2015,3,21,4.09,3.24,5.65,2.19,0.51,0.84,0.17,9.67,74.85
2015,3,22,6.2,9.9,6.26,0.9,0.77,1.13,0.23,13.5,109.03
2015,3,23,6.31,9.67,6.28,0.87,0.77,1.12,0.23,13.38,108.55
2015,3,24,4.99,5.91,6.07,1.93,0.61,0.88,0.17,11.18,88.74
2015,3,25,4.17,3.49,5.93,2.22,0.5,0.78,0.16,9.59,74.93
2015,3,26,2.04,1.15,5.52,1.43,0.24,0.53,0.11,5.76,40.95
2015,3,27,1.66,0.61,5.91,1.29,0.2,0.51,0.1,5.1,34.2
2015,3,28,2.49,1.24,5.99,1.75,0.29,0.66,0.13,6.69,47.49
2015,3,29,6.59,9.79,6.62,0.86,0.77,1.06,0.21,14.12,113.95
2015,3,30,3.09,2.26,6.07,1.77,0.36,0.73,0.15,7.78,57.95
2015,3,31,3.3,2.4,6.13,1.94,0.38,0.7,0.14,8.29,61.93
2015,4,1,6.39,8.43,6.51,1.17,0.73,1.11,0.23,13.72,111.19
2015,4,2,6.02,6.84,6.07,1.53,0.68,1.06,0.22,12.97,105.99
2015,4,3,1.43,0.54,5.16,1.12,0.16,0.42,0.09,4.18,29.62
2015,4,4,6.5,8.6,6.59,1.22,0.73,1.4,0.28,14.44,115.54
2015,4,5,5.5,5.82,6.42,1.87,0.61,0.98,0.2,12.2,97.77
2015,4,6,6.2,6.7,6.45,1.89,0.68,1.16,0.23,13.76,110.44
2015,4,7,2.2,0.82,5.53,1.68,0.24,0.61,0.12,6.21,44.32
2015,4,8,1.46,0.61,6.01,1.12,0.16,0.48,0.09,4.62,30.72
2015,4,9,2.67,1.86,6.58,1.66,0.29,0.67,0.13,7.36,52.77
2015,4,10,1.88,0.69,6.19,1.45,0.2,0.62,0.12,5.74,39.26
2015,4,11,6.71,8.44,7.04,1.57,0.71,1.64,0.33,15.23,120.54
2015,4,12,7.12,10.06,7.14,0.95,0.75,1.44,0.29,15.7,126
2015,4,13,6.26,6.31,6.91,2.01,0.66,1.39,0.28,14.71,115.23
2015,4,14,1.83,0.7,6.44,1.4,0.2,0.59,0.12,5.68,38.58
2015,4,15,6.79,7.21,7.48,2.05,0.7,1.73,0.34,15.67,121.47
2015,4,16,6.79,7.09,7.41,2.31,0.7,1.68,0.34,15.48,121.27
2015,4,17,3.39,2.23,6.66,2.13,0.35,1.05,0.21,9.3,67.28
2015,4,18,6.8,8.15,7.1,1.77,0.7,1.59,0.32,15.55,123.74
2015,4,19,6.63,5.94,7.45,2.74,0.67,1.66,0.33,15.38,119.55
2015,4,20,1.63,0.94,6.78,1.14,0.16,0.57,0.11,5.05,34.29
2015,4,21,5.81,5.39,6.56,2.01,0.59,1.41,0.28,12.8,103.3
2015,4,22,5.94,5.66,7.05,2.15,0.59,1.45,0.29,13.8,107.84
2015,4,23,5.32,4.65,7.46,2.45,0.53,1.2,0.23,12.7,96.12
2015,4,24,5.51,5.23,7.47,2.23,0.55,1.19,0.23,12.74,97.62
2015,4,25,7.36,8.56,7.69,1.57,0.73,1.48,0.3,16.86,131.6
2015,4,26,6.79,7.5,7.64,1.75,0.66,1.49,0.3,15.8,122.4
2015,4,27,4.69,3.24,7.57,2.69,0.45,1.16,0.23,11.97,87.62
2015,4,28,7.53,9.61,7.66,1.27,0.73,1.47,0.3,17.28,136
2015,4,29,7.39,9.02,7.43,1.4,0.71,1.44,0.29,16.64,132.6
2015,4,30,5.59,5.16,7.6,2.18,0.54,1.28,0.25,13.88,104.1
2015,5,1,6.25,5.68,7.69,2.67,0.59,1.38,0.27,15.3,116.73
2015,5,2,7.67,10.42,7.78,0.95,0.73,1.55,0.31,18.03,141.26
2015,5,3,7.58,9.24,7.6,1.39,0.72,1.69,0.34,17.3,137.48
2015,5,4,7.47,9.19,7.59,1.34,0.7,1.7,0.34,17.1,136.16
2015,5,5,5.73,4.95,7.15,2.56,0.54,1.41,0.28,13.88,108.51
2015,5,6,3.51,1.8,7.11,2.45,0.33,-999,0.2,9.64,70.66
2015,5,7,7.67,9.53,7.82,1.34,0.72,1.8,0.37,17.91,141.2
2015,5,8,7.15,7.7,7.56,2.02,0.66,1.73,0.34,16.54,131.78
2015,5,9,2.96,1.22,7.49,2.14,0.27,1.09,0.22,8.76,60.91
2015,5,10,6.14,5.58,7.63,2.46,0.57,-999,0.36,15.3,117.8
2015,5,11,6.04,4.52,7.28,3.01,0.55,1.87,0.38,15.24,117.85
2015,5,12,5.86,4,7.29,3.07,0.54,-999,0.36,14.66,113.42
2015,5,13,6.5,6.44,8.15,2.3,0.59,1.89,0.38,16.11,121.84
2015,5,14,8.34,11,8.42,1.04,0.76,1.84,0.37,19.05,149.37
2015,5,15,5.93,3.96,7.72,3,0.54,1.47,0.3,14.16,110.39
2015,5,16,4.27,1.62,7.36,3.09,0.39,1.22,0.24,11.48,84.83
2015,5,17,6.37,4.57,7.53,2.93,0.58,1.77,0.35,16.01,123.31
2015,5,18,2.41,0.91,7.57,1.82,0.22,0.91,0.18,7.61,50.98
2015,5,19,4.4,3.03,7.25,2.5,0.4,1.28,0.26,11.62,87.63
2015,5,20,6.59,3.87,8.34,4.14,0.59,1.85,0.37,16.06,121.99
2015,5,21,2.96,1.08,7.84,2.19,0.27,1.04,0.21,8.8,60.67
2015,5,22,7.06,7.52,8.27,1.8,0.63,1.85,0.37,17.03,130.47
2015,5,23,8.71,11.74,8.74,0.93,0.77,1.89,0.38,19.8,155.12
2015,5,24,7.33,5.65,8.19,3.43,0.65,1.73,0.34,17.16,133.93
2015,5,25,7.32,6.94,7.77,2.21,0.65,1.91,0.38,17.65,138.14
2015,5,26,7.66,7.92,7.85,2.06,0.68,2.07,0.41,18.48,145.08
