-BEGIN HEADER-,,,,,,,,,,,Phoenix
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,
Dates (month/day/year): 01/01/2015 through 11/16/2024 ,,,,,,,,,,,
Location: Latitude  33.4634   Longitude -112.1119 ,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 494.49 meters,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) ,,,,,,,,,,,
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) ,,,,,,,,,,,
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) ,,,,,,,,,,,
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_PAR_TOT
2015,1,1,2.37,2.94,3.61,1.2,0.48,0.33,0.06,5.45,42.33
2015,1,2,3.71,8.08,3.65,0.56,0.75,0.52,0.11,7.72,64.73
2015,1,3,3.71,8.31,3.65,0.48,0.74,0.58,0.12,7.87,65.87
2015,1,4,3.72,8.12,3.67,0.47,0.74,0.57,0.12,8.02,66.69
2015,1,5,3.77,8.39,3.74,0.54,0.75,0.54,0.11,8.01,66.69
2015,1,6,3.88,8.94,3.83,0.43,0.77,0.55,0.11,8.12,67.73
2015,1,7,3.36,5.15,3.7,1.25,0.66,0.53,0.11,7.4,60.1
2015,1,8,2.67,3.27,3.49,1.36,0.52,0.51,0.1,6.34,49.66
2015,1,9,3.58,7.18,3.53,0.64,0.7,0.56,0.11,7.91,65.69
2015,1,10,1.77,1.23,3.54,1.28,0.34,0.36,0.07,4.66,33.96
2015,1,11,3.08,4.72,3.56,1.1,0.59,0.51,0.1,7.05,56.87
2015,1,12,2.42,2.69,3.56,1.34,0.47,0.44,0.09,6.02,45.95
2015,1,13,2.53,4.08,3.64,0.96,0.48,0.41,0.09,5.95,46.91
2015,1,14,3.87,8.21,3.82,0.55,0.73,0.59,0.12,8.33,69.21
2015,1,15,4.03,8.92,3.98,0.44,0.76,0.66,0.13,8.63,71.37
2015,1,16,4.11,9.09,4.07,0.44,0.77,0.67,0.13,8.73,72.02
2015,1,17,4,8.55,3.96,0.49,0.74,0.73,0.15,8.71,71.81
2015,1,18,3.68,5.9,3.93,1.23,0.68,0.77,0.16,8.4,67.57
2015,1,19,3.66,5.5,3.92,1.5,0.67,0.75,0.15,8.23,66.58
2015,1,20,3.57,4.13,3.92,1.81,0.65,0.72,0.15,8.17,65.25
2015,1,21,3.75,6.61,3.94,0.84,0.68,0.64,0.12,8.46,68.23
2015,1,22,4.38,9.42,4.33,0.46,0.79,0.62,0.12,9.19,75.14
2015,1,23,3.67,4.93,4.23,1.72,0.66,0.6,0.12,8.36,65.91
2015,1,24,4.31,9.16,4.26,0.45,0.77,0.67,0.13,9.33,76.27
2015,1,25,3.86,5.54,4.34,1.43,0.68,0.68,0.13,8.68,68.34
2015,1,26,1.46,0.75,3.96,1.14,0.26,0.39,0.08,4.3,29.54
2015,1,27,3.7,6.21,4.05,0.98,0.64,0.73,0.15,8.66,69.15
2015,1,28,3.8,4.6,4.16,1.62,0.66,0.81,0.16,8.95,70.53
2015,1,29,1.79,0.76,4.09,1.45,0.3,0.53,0.11,5.23,35.97
2015,1,30,1.1,0.5,3.75,0.88,0.19,0.3,0.06,3.45,23.32
2015,1,31,2.03,1.07,4.12,1.56,0.34,0.52,0.1,5.8,40.8
2015,2,1,4.2,7.47,4.38,0.81,0.7,0.78,0.16,9.64,76.69
2015,2,2,4.26,7.2,4.46,1.23,0.7,0.8,0.16,9.76,77.65
2015,2,3,4.4,7.63,4.46,0.88,0.72,0.8,0.16,10.12,80.48
2015,2,4,4.5,8.26,4.54,0.68,0.73,-999,0.16,10.12,81.23
2015,2,5,4.69,8.95,4.65,0.56,0.76,0.82,0.16,10.56,84.3
2015,2,6,4.73,8.79,4.73,0.65,0.76,0.9,0.18,10.59,84.35
2015,2,7,4.86,9.33,4.81,0.55,0.77,1.02,0.2,10.91,86.74
2015,2,8,4.83,9.18,4.77,0.54,0.76,1.08,0.22,11.05,87.62
2015,2,9,4.81,9,4.77,0.56,0.75,1.12,0.23,11.15,88.16
2015,2,10,4.94,9.41,4.88,0.5,0.77,1.13,0.23,11.46,90.12
2015,2,11,5.06,9.67,5.02,0.49,0.77,1.12,0.23,11.58,90.98
2015,2,12,5.01,9.09,5.02,0.71,0.76,1.03,0.21,11.63,90.84
2015,2,13,5.02,9.2,4.97,0.58,0.76,1.04,0.21,11.57,91.35
2015,2,14,4.51,4.77,4.96,2.04,0.67,1.02,0.2,10.7,82.58
2015,2,15,4.04,3.89,4.85,2.1,0.59,1.04,0.2,10.11,76.54
2015,2,16,5.04,8.82,5.01,0.66,0.74,1.19,0.24,11.81,92.9
2015,2,17,5.16,9.1,5.19,0.67,0.75,-999,0.21,11.8,93.06
2015,2,18,5.13,8.02,5.25,0.95,0.74,1.12,0.23,12.06,93.53
2015,2,19,4.66,4.43,5.26,2.34,0.66,1.18,0.23,11.31,86.24
2015,2,20,3.36,1.27,5.2,2.64,0.48,1,0.2,8.83,63.87
2015,2,21,4.49,2.96,5.39,2.89,0.63,1.17,0.23,10.95,82.39
2015,2,22,4.29,5.29,5.28,1.48,0.6,1.02,0.2,10.62,80.27
2015,2,23,3.42,3.26,5.35,1.76,0.47,0.81,0.16,9.02,65.98
2015,2,24,5.29,8.32,5.58,0.86,0.73,1.05,0.21,12.45,95.88
2015,2,25,5.69,9.96,5.69,0.59,0.77,1.02,0.2,13.03,101.54
2015,2,26,5.66,9.52,5.66,0.73,0.77,1.16,0.23,13.22,102.38
2015,2,27,5.55,8.55,5.62,0.81,0.74,1.2,0.24,12.95,100.43
2015,2,28,3.16,2.28,5.5,1.89,0.42,0.89,0.18,8.64,61.66
2015,3,1,2.95,1.68,5.55,2.11,0.39,0.92,0.18,8.51,59.41
2015,3,2,2.13,1.4,5.6,1.53,0.28,0.66,0.13,6.33,43.55
2015,3,3,4.72,6.04,5.84,1.5,0.61,1.09,0.22,11.77,88.33
2015,3,4,6,9.96,5.96,0.67,0.77,1.12,0.23,13.86,107.46
2015,3,5,6.33,10.95,6.29,0.52,0.8,1.22,0.24,14.37,110.62
2015,3,6,6.23,10.45,6.2,0.58,0.79,1.31,0.27,14.42,110.84
2015,3,7,6.13,9.79,6.11,0.71,0.77,1.3,0.27,14.24,109.96
2015,3,8,6.13,9.65,6.1,0.73,0.77,1.33,0.27,14.31,110.46
2015,3,9,6.06,9.19,6.1,0.88,0.75,1.34,0.27,14.25,109.84
2015,3,10,6.35,10.11,6.34,0.69,0.78,1.3,0.27,14.65,112.88
2015,3,11,4.73,3.56,6.23,2.77,0.58,1.17,0.23,11.89,88.34
2015,3,12,4.55,3.11,5.92,2.52,0.55,1.23,0.24,11.4,85.2
2015,3,13,6.06,8.48,6.09,1.06,0.73,1.41,0.28,14.34,110.86
2015,3,14,6.23,9.1,6.28,0.98,0.74,1.61,0.32,15.05,115.12
2015,3,15,6.51,10.26,6.56,0.73,0.77,-999,0.34,15.44,117.81
2015,3,16,6.37,9.8,6.52,0.81,0.75,-999,0.33,15.19,116.15
2015,3,17,6.28,8.44,6.42,1.15,0.73,1.79,0.35,15.14,115.48
2015,3,18,2.92,1.08,6.05,2.27,0.34,1.05,0.2,8.35,59.21
2015,3,19,3.36,2.17,6.06,2.25,0.39,1.1,0.22,9.47,68.04
2015,3,20,6.3,8.42,6.38,1.08,0.72,1.62,0.33,15.34,117.42
2015,3,21,6.63,9.92,6.61,0.78,0.75,1.66,0.34,16.02,122.33
2015,3,22,6.73,9.37,6.83,1.11,0.76,1.7,0.34,15.95,121.52
2015,3,23,6.9,10.2,6.89,0.8,0.77,1.78,0.36,16.3,124.16
2015,3,24,6.91,10.12,6.92,0.83,0.77,1.73,0.34,16.41,124.77
2015,3,25,6.97,10.51,6.95,0.71,0.77,1.65,0.33,16.55,126.5
2015,3,26,6.92,9.9,7.16,1.21,0.77,1.62,0.33,16.32,123.97
2015,3,27,7.01,10.68,7.15,0.83,0.77,-999,0.34,16.4,125.71
2015,3,28,7.27,11.14,7.25,0.66,0.79,1.84,0.37,16.98,129.52
2015,3,29,6.81,7.87,7.17,2.12,0.73,1.79,0.36,16.12,123.05
2015,3,30,6.45,7.31,6.99,1.87,0.7,1.79,0.36,15.6,118.67
2015,3,31,7.11,10.18,7.1,0.87,0.76,1.93,0.38,17.11,130.46
2015,4,1,7.18,9.68,7.3,1.27,0.77,2.05,0.41,16.84,128.64
2015,4,2,6.37,5.04,7.21,3.02,0.67,1.84,0.37,15.33,115.93
2015,4,3,7.26,9.3,7.4,1.5,0.77,2.03,0.4,16.9,129.69
2015,4,4,6.97,7.33,7.45,2.29,0.73,1.94,0.38,16.16,123.81
2015,4,5,6.91,7.91,7.48,2.1,0.72,1.9,0.38,16.3,124.22
2015,4,6,7.45,9.89,7.59,1.25,0.77,1.95,0.39,17.52,133.23
2015,4,7,6.95,7.03,7.61,2.62,0.72,1.81,0.36,16.44,124.75
2015,4,8,7.6,10.73,7.62,0.85,0.78,1.93,0.39,17.8,136
2015,4,9,7.64,10.79,7.69,0.88,0.78,-999,0.37,17.79,136.23
2015,4,10,7.41,9.15,7.73,1.64,0.75,1.83,0.37,17.39,132.34
2015,4,11,6.89,7.22,7.58,2.63,0.7,1.8,0.36,16.65,126.58
2015,4,12,6.74,6.65,7.43,2.48,0.68,1.76,0.35,16.44,125.22
2015,4,13,7.63,10.5,7.65,0.84,0.77,1.96,0.39,18.09,138.45
2015,4,14,7.63,10.2,7.72,0.99,0.76,1.98,0.4,17.91,137.27
2015,4,15,7.77,9.75,7.86,1.36,0.77,-999,0.39,18.18,138.83
2015,4,16,8.14,11.83,8.16,0.63,0.8,2.1,0.42,19.11,144.28
2015,4,17,7.95,11.03,7.97,0.79,0.78,1.98,0.4,18.77,142.7
2015,4,18,7.82,10.43,7.88,0.94,0.77,1.94,0.39,18.13,139.58
2015,4,19,7.95,10.91,7.95,0.84,0.77,2,0.4,18.38,141.62
2015,4,20,7.93,10.69,7.95,0.9,0.77,1.93,0.39,18.28,141.12
2015,4,21,7.78,9.4,8.02,1.2,0.75,1.84,0.38,18.36,139.56
2015,4,22,7.87,10.21,7.96,1.06,0.76,1.82,0.37,18.46,141.71
2015,4,23,7.12,8.29,7.91,1.65,0.69,1.73,0.34,17.12,130.16
2015,4,24,5.21,4.82,7.63,2.02,0.5,1.34,0.27,12.98,97.59
2015,4,25,5.56,4.39,7.76,2.7,0.53,1.5,0.3,14.25,105.91
2015,4,26,6.79,7.45,8.1,1.69,0.65,1.7,0.34,16.75,125.04
2015,4,27,8.18,11.44,8.19,0.68,0.77,2.02,0.41,19.77,150.12
2015,4,28,8.02,10.6,8.13,1.02,0.76,-999,0.42,19.43,147.88
2015,4,29,8.15,11,8.2,0.81,0.77,2.28,0.45,19.76,150.04
2015,4,30,8.07,9.3,8.38,1.97,0.76,2.29,0.45,19.21,145.77
2015,5,1,8,9.68,8.24,1.6,0.75,2.21,0.44,19.08,145.43
2015,5,2,7.89,9.63,8.12,1.24,0.73,2.12,0.42,19.13,145.52
2015,5,3,7.61,9.32,8.21,1.44,0.7,2.09,0.41,18.66,141.02
2015,5,4,6.46,5.68,7.92,2.19,0.6,2.05,0.41,16.72,124.31
2015,5,5,7.38,8.28,7.99,1.56,0.68,2.12,0.42,18.45,139.59
2015,5,6,8.03,9.9,8.31,1.45,0.74,2.24,0.45,19.56,148.23
2015,5,7,7.78,9.71,8.26,1.35,0.71,2.05,0.41,18.97,143.79
2015,5,8,6.09,5.85,8.4,2.31,0.55,1.6,0.32,15.01,111.99
2015,5,9,8.21,10.36,8.4,1.25,0.75,1.85,0.38,19.48,149.05
2015,5,10,8.34,10.83,8.4,1,0.76,2.08,0.42,20.08,152.98
2015,5,11,8.19,9.8,8.47,1.71,0.74,2.28,0.45,19.87,150.59
2015,5,12,6.99,5.62,8.46,3.77,0.63,1.87,0.38,16.73,127.35
2015,5,13,7.78,7.25,8.32,2.66,0.7,2.1,0.42,18.98,143.95
2015,5,14,6.62,4.17,8.37,3.6,0.6,1.98,0.4,16.69,123.76
2015,5,15,4.35,2.33,8.14,2.9,0.39,1.23,0.24,11.84,85.87
2015,5,16,7.68,8.35,8.35,2.1,0.69,1.84,0.37,18.66,142.12
2015,5,17,8.39,10.66,8.46,1,0.75,2.21,0.45,20.47,155.48
2015,5,18,8.03,9.17,8.53,1.74,0.72,2.21,0.44,19.56,147.91
2015,5,19,8.67,11.81,8.71,0.79,0.77,2.26,0.45,20.9,158.48
2015,5,20,7.43,5.57,8.77,3.67,0.66,2.25,0.45,18.34,136.37
2015,5,21,7.11,5.52,8.61,3.34,0.63,2.05,0.41,17.48,131.3
2015,5,22,8.21,9.26,8.56,1.59,0.73,2.05,0.41,19.87,150.79
2015,5,23,8.11,9.47,8.39,1.62,0.72,1.99,0.4,19.53,149.92
2015,5,24,7.47,7.73,8.43,2.62,0.66,1.86,0.38,18.22,139.25
2015,5,25,8.51,11.01,8.58,0.98,0.75,2.09,0.42,20.48,156.68
2015,5,26,8.19,9.04,8.62,1.79,0.73,2.19,0.44,20,151.42
