-BEGIN HEADER-,,,,,,,,,,,San Francisco
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,
Dates (month/day/year): 01/01/2015 through 11/16/2024 ,,,,,,,,,,,
Location: Latitude  37.827   Longitude -122.8009 ,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 86.52 meters,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) ,,,,,,,,,,,
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) ,,,,,,,,,,,
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) ,,,,,,,,,,,
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_PAR_TOT
2015,1,1,3.07,7.3,3.07,0.52,0.72,0.38,0.08,6.09,53.73
2015,1,2,2.91,6.26,2.95,0.66,0.68,0.37,0.08,5.92,51.84
2015,1,3,2.89,6.2,2.93,0.66,0.67,0.37,0.07,5.95,51.95
2015,1,4,2.43,2.7,2.95,1.41,0.56,0.34,0.07,5.42,44.21
2015,1,5,2.54,2.7,3,1.62,0.59,0.36,0.07,5.63,46.54
2015,1,6,3.02,6.82,3,0.53,0.7,0.41,0.09,6.12,53.9
2015,1,7,3.1,6.98,3.09,0.57,0.7,0.42,0.09,6.23,54.71
2015,1,8,1.61,1.05,2.95,1.26,0.37,0.29,0.06,3.98,29.83
2015,1,9,2.5,2.8,2.98,1.34,0.56,0.37,0.08,5.45,45.01
2015,1,10,2.37,2.51,2.88,1.41,0.53,0.34,0.07,5.36,43.73
2015,1,11,1.96,1.92,2.95,1.2,0.44,0.3,0.06,4.64,36.19
2015,1,12,2.89,4.76,3.02,1.01,0.64,0.38,0.08,6.13,52.41
2015,1,13,3.23,7.27,3.22,0.52,0.71,0.42,0.09,6.63,57.83
2015,1,14,3.05,5.4,3.19,0.97,0.66,0.42,0.09,6.28,53.88
2015,1,15,2.75,3.24,3.13,1.45,0.59,0.43,0.09,6.08,50.16
2015,1,16,1.61,0.91,3.07,1.25,0.34,0.38,0.08,4.4,31.84
2015,1,17,2.82,4.31,3.14,1.09,0.6,0.52,0.1,6.4,53.06
2015,1,18,2.17,2.35,3.16,1.24,0.46,0.46,0.09,5.32,41.34
2015,1,19,2.65,4.05,3.3,1.1,0.55,0.45,0.09,5.84,48.09
2015,1,20,3.18,5.97,3.38,0.78,0.66,0.45,0.09,6.73,57.02
2015,1,21,3.42,7.12,3.44,0.62,0.7,0.45,0.09,7.06,60.81
2015,1,22,3.09,5.07,3.36,0.96,0.63,0.44,0.09,6.63,55.77
2015,1,23,3.49,7.33,3.47,0.56,0.71,0.5,0.1,7.29,62.69
2015,1,24,3.54,7.77,3.53,0.54,0.71,0.55,0.11,7.52,64.3
2015,1,25,3.69,8.01,3.68,0.56,0.73,0.55,0.11,7.61,64.98
2015,1,26,2.68,2.19,3.34,1.74,0.53,0.48,0.09,6.07,48.63
2015,1,27,2.01,0.98,3.28,1.62,0.39,0.42,0.09,5.09,38.22
2015,1,28,3.37,5.51,3.55,1.06,0.66,0.52,0.11,7.32,61.26
2015,1,29,3.6,7.14,3.57,0.62,0.7,0.54,0.11,7.75,65.75
2015,1,30,3.12,4.14,3.63,1.33,0.59,0.49,0.1,7.05,57.17
2015,1,31,3.88,7.81,3.84,0.53,0.73,0.53,0.11,8,67.58
2015,2,1,3.15,2.88,3.71,1.84,0.59,0.52,0.1,7.11,57.23
2015,2,2,2.96,2.92,3.58,1.73,0.55,0.52,0.11,6.89,54.95
2015,2,3,3.42,3.62,3.72,1.68,0.62,0.55,0.11,7.69,62.78
2015,2,4,2.15,1.06,3.88,1.71,0.39,0.44,0.09,5.53,40.33
2015,2,5,2.17,0.96,3.86,1.77,0.39,0.52,0.1,5.84,41.93
2015,2,6,0.59,0.45,3.79,0.43,0.1,0.18,0.04,1.94,12.43
2015,2,7,1.88,1.35,3.82,1.34,0.33,-999,0.1,4.98,36.55
2015,2,8,1.54,1.39,3.89,1.01,0.27,0.45,0.09,4.38,30.8
2015,2,9,3.56,5.4,4.12,1.2,0.62,0.71,0.14,8.22,65.88
2015,2,10,3.83,4.45,4.28,1.94,0.66,0.74,0.15,8.67,69.72
2015,2,11,3.67,3.12,4.3,2.21,0.62,0.75,0.15,8.45,66.85
2015,2,12,4.27,7.41,4.3,0.92,0.71,0.8,0.16,9.22,76.44
2015,2,13,4.34,7.88,4.33,0.74,0.72,0.81,0.16,9.47,78.48
2015,2,14,4.3,7.34,4.46,1,0.7,0.8,0.16,9.33,76.73
2015,2,15,4.46,7.58,4.47,0.83,0.73,0.82,0.16,9.63,79.65
2015,2,16,3.29,3.89,4.43,1.5,0.53,0.71,0.14,7.85,61.09
2015,2,17,1.39,0.76,4.43,1.03,0.22,0.38,0.08,4.08,27.35
2015,2,18,3.65,4,4.45,1.7,0.58,0.76,0.15,8.46,66.95
2015,2,19,2.65,2.15,4.5,1.62,0.41,0.62,0.12,6.56,49.44
2015,2,20,4.18,5.83,4.68,1.27,0.65,0.77,0.16,9.48,75.87
2015,2,21,3.82,4.42,4.65,1.65,0.59,0.69,0.14,9.02,70.7
2015,2,22,4.77,7.94,4.75,0.8,0.73,0.71,0.14,10.25,84.46
2015,2,23,4.93,8.41,4.97,0.82,0.74,0.62,0.12,10.41,85.98
2015,2,24,5.12,9.33,5.11,0.57,0.76,0.72,0.14,10.92,89.96
2015,2,25,4.84,6.79,5.06,1.36,0.71,0.91,0.19,10.77,86.88
2015,2,26,4.63,5.5,4.9,1.62,0.67,1.02,0.2,10.86,86.48
2015,2,27,4.04,4.79,4.97,1.64,0.59,0.91,0.18,9.71,75.46
2015,2,28,4.29,5.33,5.04,1.56,0.62,0.77,0.16,10.11,79.78
2015,3,1,5.16,8.68,5.14,0.67,0.73,0.74,0.14,11.44,93.13
2015,3,2,3.63,2.95,5.04,2.14,0.51,0.59,0.12,8.88,67.97
2015,3,3,5.1,7.59,5.2,0.99,0.71,0.78,0.16,11.3,91.64
2015,3,4,5.37,8.83,5.35,0.69,0.74,0.95,0.19,11.91,96.38
2015,3,5,5.53,9.3,5.5,0.62,0.76,0.99,0.2,12.2,98.32
2015,3,6,5.73,9.89,5.71,0.6,0.77,1.09,0.22,12.51,100.7
2015,3,7,5.63,9.18,5.62,0.76,0.76,1.13,0.23,12.46,100.16
2015,3,8,4.67,4.81,5.59,1.93,0.62,1.02,0.2,10.84,84.16
2015,3,9,3.88,3.42,5.6,1.97,0.51,0.91,0.18,9.65,72.34
2015,3,10,2.86,1.08,5.33,2.24,0.38,0.76,0.15,7.48,54.64
2015,3,11,3.79,2.54,5.36,2.45,0.49,0.98,0.2,9.63,72.54
2015,3,12,4.92,4.73,5.71,2.32,0.63,1.12,0.22,11.59,90.48
2015,3,13,4.05,2.64,5.72,2.48,0.52,1.16,0.23,10.22,76.24
2015,3,14,4.94,5.06,5.62,2.14,0.62,1.45,0.28,11.83,92.71
2015,3,15,4.72,2.94,5.77,3.12,0.59,1.48,0.27,11.43,88.17
2015,3,16,2.58,0.88,5.6,2.07,0.32,0.94,0.18,7.48,52.37
2015,3,17,5.71,7.88,6.09,1.04,0.7,1.4,0.28,13.26,104
2015,3,18,6.13,9.53,6.14,0.7,0.75,1.31,0.27,14.06,111.7
2015,3,19,6.01,8.13,6.17,1.44,0.73,1.25,0.25,13.62,108.38
2015,3,20,4.14,1.76,6.08,3.11,0.5,1.11,0.22,10.3,77.16
2015,3,21,4.89,3.12,5.87,2.9,0.59,1.22,0.24,11.92,92.16
2015,3,22,4.29,3.18,5.89,2.34,0.51,1,0.2,10.51,80.23
2015,3,23,5.36,4.93,6.08,2.33,0.63,1.16,0.23,12.7,99.34
2015,3,24,4.27,2.2,6.03,3.03,0.5,1.03,0.2,11.05,82.3
2015,3,25,6.37,9.48,6.36,0.83,0.73,1.45,0.29,14.78,117.2
2015,3,26,6.17,7.72,6.44,1.54,0.71,1.68,0.33,14.48,113.64
2015,3,27,4.49,4.34,6.48,1.92,0.52,1.33,0.27,11.48,85.84
2015,3,28,6.65,9.31,6.67,1.1,0.75,1.59,0.32,14.95,118.68
2015,3,29,6.76,10,6.77,0.84,0.76,1.53,0.31,15.37,121.3
2015,3,30,5.8,5,6.71,2.78,0.65,1.5,0.3,13.77,106.27
2015,3,31,6.59,8.13,6.74,1.29,0.73,1.65,0.33,15.14,118.09
2015,4,1,6.73,8.92,6.84,1.51,0.74,1.48,0.3,15.16,120.62
2015,4,2,7.09,10.7,7.08,0.67,0.77,1.47,0.3,15.96,126.06
2015,4,3,7.09,10.54,7.1,0.73,0.77,1.48,0.3,16.01,126.38
2015,4,4,6.66,7.92,6.88,1.43,0.72,1.49,0.3,15.55,121.73
2015,4,5,4.55,3.28,6.82,2.87,0.49,1.12,0.23,11.43,85.65
2015,4,6,5.79,3.89,6.95,3.46,0.62,1.28,0.25,14.13,108.04
2015,4,7,5.88,6.07,6.99,2.16,0.62,1.22,0.24,14.05,108.17
2015,4,8,6.55,7.63,6.99,1.7,0.7,1.28,0.26,15.19,118.95
2015,4,9,6.7,7.16,7.04,2.26,0.7,1.38,0.27,15.16,120.5
2015,4,10,7.19,9.93,7.21,0.95,0.75,1.43,0.29,16.46,129.84
2015,4,11,6.74,7.69,7.02,1.68,0.7,1.45,0.29,15.98,125.1
2015,4,12,7.39,10.68,7.39,0.73,0.77,1.67,0.34,17.07,133.8
2015,4,13,6.25,6.43,7.3,2.2,0.64,1.59,0.32,14.91,114.82
2015,4,14,7.62,11.27,7.64,0.72,0.78,1.83,0.37,17.38,136.21
2015,4,15,7.54,10.98,7.56,0.75,0.77,1.8,0.37,17.44,136.32
2015,4,16,7.72,11.48,7.7,0.65,0.78,1.9,0.38,17.66,137.91
2015,4,17,6.5,6.49,7.53,2.43,0.66,1.74,0.34,15.51,118.87
2015,4,18,5.21,4.44,7.49,2.26,0.52,1.48,0.3,13.16,97.76
2015,4,19,4.9,3.37,7.43,2.57,0.48,1.39,0.27,12.54,92.34
2015,4,20,4.27,2.82,7.43,2.37,0.42,1.2,0.24,11.08,80.96
2015,4,21,2.8,1.24,7.18,1.98,0.27,0.84,0.16,7.8,55.48
2015,4,22,4.68,3.13,7.23,2.52,0.46,1.2,0.24,11.68,87.49
2015,4,23,5.68,3.84,7.37,2.91,0.55,1.44,0.29,13.99,105.97
2015,4,24,6.99,6.4,7.56,2.17,0.68,1.7,0.34,16.84,129.31
2015,4,25,6.26,4.92,7.34,3.01,0.61,1.54,0.3,14.95,115.87
2015,4,26,7.69,10.09,7.73,1,0.74,1.99,0.4,18.38,142.7
2015,4,27,7.11,8.09,7.83,1.88,0.68,2.01,0.4,17.05,131.23
2015,4,28,6.11,4.86,7.84,2.8,0.59,1.82,0.36,15.27,114.18
2015,4,29,7.98,10.47,8.13,1.03,0.76,2.07,0.41,18.65,144.02
2015,4,30,8.01,11.2,8.02,0.78,0.76,1.94,0.39,18.85,146.46
2015,5,1,6.25,6,7.8,2.46,0.59,1.58,0.31,15.21,116.22
2015,5,2,6.05,4.47,7.8,2.86,0.57,1.62,0.32,15.2,114.05
2015,5,3,5,3.57,8,2.49,0.47,1.43,0.28,12.91,94.07
2015,5,4,4.36,2.8,8.04,2.55,0.41,1.33,0.27,11.45,82.8
2015,5,5,7.65,7.53,8.06,2.16,0.71,1.95,0.39,17.92,138.4
2015,5,6,8.06,9.68,8.35,1.46,0.75,1.96,0.4,19.01,145.48
2015,5,7,5.92,4.91,7.9,2.68,0.55,1.36,0.27,14.37,109.19
2015,5,8,6.77,5.87,7.86,2.49,0.62,1.41,0.28,16.39,125.57
2015,5,9,4.42,2.65,7.99,2.55,0.41,1.22,0.24,11.84,85.52
2015,5,10,5.66,4.49,8.21,2.48,0.52,1.51,0.3,14.14,104.62
2015,5,11,7.06,6.01,8.27,2.77,0.65,1.74,0.35,16.95,128.63
2015,5,12,8.17,9.24,8.4,1.53,0.74,1.8,0.37,19.28,148.21
2015,5,13,7.56,7.11,8.01,2.4,0.69,1.64,0.33,18,139.17
2015,5,14,5.54,2.44,7.7,3.86,0.5,1.27,0.25,13.72,104.62
2015,5,15,5.73,3.78,7.86,3.21,0.52,1.27,0.25,14.08,106.71
2015,5,16,6.1,4.83,8.21,2.82,0.55,1.48,0.29,15.26,114.34
2015,5,17,5.25,2.32,7.93,3.52,0.47,1.39,0.27,13.39,99.2
2015,5,18,4.84,2.97,8.12,2.73,0.44,1.3,0.26,12.62,91.84
2015,5,19,5.8,4.17,8.19,2.85,0.52,1.54,0.3,14.76,109.8
2015,5,20,4.58,1.98,7.97,3.1,0.41,1.34,0.27,12.2,88.57
2015,5,21,4.82,1.87,8.03,3.42,0.43,1.42,0.28,12.88,93.47
2015,5,22,3.75,1.35,7.98,2.77,0.34,1.12,0.22,10.41,74.41
2015,5,23,5.55,3.72,8.35,2.81,0.49,1.52,0.3,14.2,104.65
2015,5,24,4.42,2.67,8.33,2.4,0.39,1.34,0.27,12.11,86.45
2015,5,25,5.25,2.71,8.34,3.19,0.46,1.54,0.3,14.09,102.24
2015,5,26,5.85,3.2,8.44,3.47,0.52,1.66,0.34,15.25,111.83
