STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT05,WT07,WT08,WT11
USC00048122,"SHAFTER 6 E, CA US",01/01/15,,,,,0,,,,44,27,30,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",02/01/15,,,,,0,,,,53,27,30,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",03/01/15,,,,,0,,,,54,27,31,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",04/01/15,,,,,0,,,,56,26,30,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",05/01/15,,,,,0,,,,56,29,34,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",06/01/15,,,,,0,,,,60,33,35,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",07/01/15,,,,,0,,,,67,32,39,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",08/01/15,,,,,0,,,,67,36,45,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",09/01/15,,,,,0,,,,69,40,47,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",10/01/15,,,,,0,,,,67,46,50,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",11/01/15,,,,,0.26,,,,67,45,53,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",12/01/15,,,,,0.03,,,,59,41,47,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",13/01/15,,,,,0,,,,60,41,48,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",14/01/15,,,,,0,,,,61,42,47,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",15/01/15,,,,,0,,,,66,44,46,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",16/01/15,,,,,0,,,,57,44,47,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",17/01/15,,,,,0,,,,61,41,47,,,,,,,,,,,,,
USC00048122,"SHAFTER 6 E, CA US",18/01/15,,,,,0,,,,61,38,46,,,,,,,,,,,,,
