date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,9.7,4.4,12.8,0,,38,13.7,,1020.1,
2015-01-02,7.7,3.3,11.1,0,,,2.5,,1021.7,
2015-01-03,7.7,3.3,12.2,0,,,2.5,,1024.3,
2015-01-04,8.6,5,12.8,0,,,3.2,,1028.5,
2015-01-05,9.8,6.1,15,0,,,4,,1026.7,
2015-01-06,10.8,6.7,15.6,0,,,3.2,,1023.2,
2015-01-07,11.6,7.2,15.6,0,,,3.2,,1020.9,
2015-01-08,12,9.4,15.6,0,,,1.4,,1017.5,
2015-01-09,12.5,10.6,17.2,0,,,5.8,,1015.8,
2015-01-10,12.5,9.4,16.1,0,,,8.3,,1015.5,
2015-01-11,11.2,8.3,13.3,0,,,6.5,,1018.7,
2015-01-12,11.1,8.3,16.7,0,,,6.8,,1023.1,
2015-01-13,11.9,7.8,17.8,0,,,1.8,,1021.6,
2015-01-14,11.6,6.1,14.4,0,,,2.5,,1023,
2015-01-15,11.2,7.2,15,0,,,3.6,,1025.2,
2015-01-16,12.1,8.9,14.4,0,,,4.7,,1024.4,
2015-01-17,12.6,10.6,14.4,0,,,6.5,,1024.5,
2015-01-18,12.8,11.7,16.1,0,,,4.3,,1025.2,
2015-01-19,13.9,11.1,15.6,0,,,7.2,,1024.1,
2015-01-20,12.1,9.4,16.1,0,,,5.8,,1019.8,
2015-01-21,11.7,7.8,17.8,0,,,4.3,,1020.1,
2015-01-22,11.6,8.3,13.9,0,,,7.2,,1024.9,
2015-01-23,11.4,7.2,19.4,0,,,3.2,,1026.3,
2015-01-24,13.6,9.4,17.8,0,,,4.3,,1021.8,
2015-01-25,12.4,9.4,17.2,0,,,4.3,,1018.8,
2015-01-26,12.4,8.9,17.8,0,,,4.3,,1016.1,
2015-01-27,16.2,12.2,20,0,,,9,,1021.1,
2015-01-28,13.7,9.4,17.8,0,,,6.5,,1023.2,
2015-01-29,13.6,9.4,18.9,0,,,9.7,,1019.8,
2015-01-30,13,10,17.8,0,,,9.4,,1015.3,
2015-01-31,14.8,8.9,23.3,0,,,7.9,,1014.7,
2015-02-01,13.7,7.8,17.8,0,,,6.8,,1020,
2015-02-02,13.3,9.4,18.9,0,,,4,,1020.5,
2015-02-03,14.7,11.1,18.3,0,,,2.9,,1018.9,
2015-02-04,14.2,10,17.8,0,,,9,,1017.5,
2015-02-05,14.1,11.7,17.8,0,,,12.6,,1015,
2015-02-06,16.7,12.8,19.4,18.3,,152,39.6,,1010.5,
2015-02-07,16.9,15,18.3,2,,173,13.7,,1016.2,
2015-02-08,16.1,13.9,18.3,30.7,,171,29.5,,1013.9,
2015-02-09,16.6,12.2,17.8,0,,251,15.5,,1022.3,
2015-02-10,13.2,8.9,17.8,0,,,7.2,,1021.7,
