STATION,NAME,DATE,TAVG,TMAX,TMIN,PRCP,SNOW,CITY_x,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,CITY_y
USW00023155,"BAKERSFIELD AIRPORT, CA US",2015-01-01,40.0,54.0,28.0,0.0,0.0,Bakersfield,3.41,3.42,0.52,Bakersfield
USW00023155,"BAKERSFIELD AIRPORT, CA US",2015-01-02,42.0,54.0,30.0,0.0,0.0,Bakersfield,3.39,3.39,0.55,Bakersfield
USW00023155,"BAKERSFIELD AIRPORT, CA US",2015-01-03,42.0,55.0,31.0,0.0,0.0,Bakersfield,3.34,3.34,0.54,Bakersfield
USW00023155,"BAKERSFIELD AIRPORT, CA US",2015-01-04,43.0,58.0,31.0,0.0,0.0,Bakersfield,3.0,3.32,1.29,Bakersfield
USW00023155,"BAKERSFIELD AIRPORT, CA US",2015-01-05,45.0,59.0,33.0,0.0,0.0,Bakersfield,3.2,3.23,0.65,Bakersfield
USW00023155,"BAKERSFIELD AIRPORT, CA US",2015-01-06,48.0,64.0,37.0,0.0,0.0,Bakersfield,3.32,3.35,0.67,Bakersfield
USW00023155,"BAKERSFIELD AIRPORT, CA US",2015-01-07,51.0,65.0,39.0,0.0,0.0,Bakersfield,3.24,3.36,0.9,Bakersfield
USW00023155,"BAKERSFIELD AIRPORT, CA US",2015-01-08,54.0,69.0,44.0,0.0,0.0,Bakersfield,3.06,3.23,0.98,Bakersfield
USW00023155,"BAKERSFIELD AIRPORT, CA US",2015-01-09,57.0,67.0,48.0,0.0,0.0,Bakersfield,2.38,3.25,1.42,Bakersfield
USW00023155,"BAKERSFIELD AIRPORT, CA US",2015-01-10,56.0,63.0,48.0,0.01,0.0,Bakersfield,2.32,3.05,1.4,Bakersfield
USW00023155,"BAKERSFIELD AIRPORT, CA US",2015-01-11,56.0,58.0,49.0,0.63,0.0,Bakersfield,1.72,3.09,1.23,Bakersfield
USW00023155,"BAKERSFIELD AIRPORT, CA US",2015-01-12,52.0,60.0,44.0,0.0,0.0,Bakersfield,2.12,3.32,1.35,Bakersfield
